,low,mid,high
Cooper_1986,19.3547306061,18.7432994843,26.0296077728
Meyers_1992,17.0979957581,18.7230072021,24.9451122284
DeMott_2010,19.8054332733,21.4669876099,29.7763023376
Niemand_2012,21.0085220337,23.98595047,25.0194969177
Atkinson_2013,21.0311088562,23.2659263611,26.010187149
NO_HM_Cooper_1986,17.6630191803,18.7184867859,25.8515472412
NO_HM_Meyers_1992,14.7236433029,17.4774608612,30.2570762634
NO_HM_DeMott_2010,17.391626358,22.1918373108,31.9722328186
NO_HM_Niemand_2012,19.7182636261,26.4360561371,22.3103122711
NO_HM_Atkinson_2013,20.1769199371,23.5370388031,22.3253860474
