,low,mid,high
Cooper_1986,184.198364258,178.438491821,171.017410278
Meyers_1992,187.580825806,183.428955078,170.618209839
DeMott_2010,186.989822388,181.264953613,176.637451172
Niemand_2012,187.114883423,181.066360474,168.463562012
Atkinson_2013,180.315063477,179.370117188,175.908370972
NO_HM_Cooper_1986,184.870285034,181.321365356,173.412109375
NO_HM_Meyers_1992,184.577316284,183.66986084,182.631790161
NO_HM_DeMott_2010,181.914932251,180.755371094,182.655197144
NO_HM_Niemand_2012,186.861953735,183.034347534,174.68888855
NO_HM_Atkinson_2013,179.781600952,178.329788208,176.179504395
