,low,mid,high
Cooper_1986,42.4366645813,41.6665382385,39.0457229614
Meyers_1992,42.1584625244,40.6661109924,38.8218040466
DeMott_2010,40.2427482605,40.6297569275,37.4464912415
Niemand_2012,42.625957489,42.2994728088,40.6085510254
Atkinson_2013,42.378112793,42.1928291321,38.7577323914
NO_HM_Cooper_1986,42.7396736145,42.3474388123,40.472202301
NO_HM_Meyers_1992,41.4526939392,40.452381134,37.6979789734
NO_HM_DeMott_2010,41.0209465027,41.0306015015,37.8916702271
NO_HM_Niemand_2012,41.7255554199,41.9652633667,39.5926399231
NO_HM_Atkinson_2013,42.3213691711,43.1850852966,41.0191993713
