/* DATA DESCRIPTION:
Citation:	Welti, André; Müller, Konrad; Fleming, Zoë L; Stratmann, Frank (2018): Time series of ice nuclei concentration at Cape Verde (2016) measured with continuous flow diffusion chamber (SPIN). PANGAEA, https://doi.org/10.1594/PANGAEA.887028, 
	In supplement to: Welti, A et al. (accepted): Concentration and variability of ice nuclei in the subtropic, maritime boundary layer. Atmospheric Chemistry and Physics Discussions, 1-18, https://doi.org/10.5194/acp-2017-783
Coverage:	LATITUDE: 16.848000 * LONGITUDE: -24.871000
	DATE/TIME START: 2016-01-14T14:02:00 * DATE/TIME END: 2016-02-19T08:36:00
	MINIMUM ALTITUDE: 40 m * MAXIMUM ALTITUDE: 40 m
Event(s):	CVAO (Cape Verde Atmospheric Observatory) (URI: http://ncasweb.leeds.ac.uk/capeverde/) * LATITUDE: 16.848000 * LONGITUDE: -24.871000 * ELEVATION: 10.0 m * LOCATION: Cape Verde * DEVICE: Monitoring station (MONS)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Welti, André (welti@tropos.de)
	Date/time end (Date/time end) * PI: Welti, André (welti@tropos.de)
	ALTITUDE [m] (Altitude) * GEOCODE * PI: Welti, André (welti@tropos.de)
	Temperature, air, experiment [K] (T air) * PI: Welti, André (welti@tropos.de)
	Error, absolute [±] (Error a) * PI: Welti, André (welti@tropos.de) * COMMENT: +dT
	Error, absolute [±] (Error a) * PI: Welti, André (welti@tropos.de) * COMMENT: -dT
	Water saturation ratio (Sw) * PI: Welti, André (welti@tropos.de)
	Error, absolute [±] (Error a) * PI: Welti, André (welti@tropos.de) * COMMENT: +dSw
	Error, absolute [±] (Error a) * PI: Welti, André (welti@tropos.de) * COMMENT: -dSw
	Ice saturation ratio (Si) * PI: Welti, André (welti@tropos.de)
	Error, absolute [±] (Error a) * PI: Welti, André (welti@tropos.de) * COMMENT: +dSi
	Error, absolute [±] (Error a) * PI: Welti, André (welti@tropos.de) * COMMENT: -dSi
	Ice, nucleating particles [#/l] (IN) * PI: Welti, André (welti@tropos.de)
	Observation duration [min] (Obs duration) * PI: Welti, André (welti@tropos.de)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3900 data points
*/
Date/Time	Date/time end	Altitude [m]	T air [K]	Error a [±] (+dT)	Error a [±] (-dT)	Sw	Error a [±] (+dSw)	Error a [±] (-dSw)	Si	Error a [±] (+dSi)	Error a [±] (-dSi)	IN [#/l]	Obs duration [min]
2016-01-17T13:29	2016-01-17T14:04	40	232.8	0.8	1.0	0.85	0.04	0.02	1	0.06	0.03	16.0	34
2016-01-17T22:23	2016-01-17T22:47	40	232.9	0.9	1.0	0.85	0.02	0.02	1	0.04	0.04	6.4	24
2016-01-18T21:35	2016-01-18T22:04	40	232.9	0.7	0.8	0.85	0.02	0.02	1	0.04	0.03	1.9	29
2016-01-19T21:22	2016-01-19T21:53	40	232.9	0.8	1.0	0.85	0.03	0.02	1	0.05	0.03	129.5	30
2016-01-20T21:24	2016-01-20T21:54	40	232.9	0.7	0.9	0.85	0.03	0.02	1	0.05	0.03	17.7	30
2016-01-23T02:16	2016-01-23T02:44	40	232.9	0.7	0.9	0.85	0.02	0.02	1	0.04	0.03	5.9	28
2016-01-24T01:47	2016-01-24T02:17	40	232.9	0.7	0.9	0.85	0.03	0.02	1	0.05	0.03	20.5	30
2016-01-25T01:49	2016-01-25T02:23	40	232.9	0.7	0.9	0.85	0.03	0.02	1	0.05	0.04	87.6	34
2016-01-31T01:20	2016-01-31T01:55	40	232.8	0.7	1.0	0.85	0.02	0.02	1	0.04	0.03	40.1	34
2016-02-01T02:12	2016-02-01T02:43	40	232.9	0.8	0.9	0.85	0.02	0.02	1	0.04	0.04	619.4	30
2016-02-02T02:20	2016-02-02T02:51	40	232.9	0.8	0.9	0.85	0.02	0.02	1	0.04	0.04	93.3	30
2016-02-03T01:35	2016-02-03T02:05	40	232.9	0.7	0.8	0.85	0.02	0.02	1	0.04	0.04	91.6	30
2016-02-04T02:31	2016-02-04T03:02	40	232.9	0.8	0.9	0.85	0.02	0.03	1	0.04	0.05	53.7	30
2016-02-06T02:03	2016-02-06T02:32	40	232.9	0.8	0.9	0.85	0.02	0.03	1	0.04	0.05	6.0	28
2016-02-07T01:39	2016-02-07T02:14	40	232.9	0.7	0.8	0.85	0.02	0.02	1	0.04	0.04	12.2	34
2016-02-07T22:05	2016-02-07T22:40	40	232.9	0.8	0.9	0.85	0.02	0.03	1	0.04	0.05	27.7	34
2016-02-08T23:57	2016-02-09T00:32	40	232.9	0.8	1.0	0.85	0.02	0.02	1	0.05	0.04	29.5	34
2016-02-10T00:43	2016-02-10T01:17	40	232.9	0.8	0.9	0.85	0.02	0.03	1	0.04	0.05	19.5	33
2016-02-11T00:13	2016-02-11T00:48	40	233.0	0.7	0.9	0.85	0.02	0.02	1	0.04	0.04	20.2	34
2016-02-15T23:47	2016-02-16T00:21	40	232.9	0.7	1.0	0.85	0.02	0.02	1	0.04	0.04	23.5	34
2016-02-16T23:44	2016-02-17T00:19	40	232.9	0.7	0.9	0.85	0.02	0.02	1	0.04	0.04	13.8	34
2016-02-18T00:05	2016-02-18T00:39	40	232.9	0.7	0.8	0.85	0.02	0.02	1	0.03	0.04	12.2	33
2016-02-18T23:55	2016-02-19T00:29	40	232.9	0.8	1.0	0.85	0.03	0.02	1	0.05	0.04	24.7	34
2016-01-17T13:06	2016-01-17T13:24	40	232.8	0.8	1.1	0.95	0.05	0.03	1	0.09	0.05	11945.2	17
2016-01-18T12:48	2016-01-18T13:19	40	232.8	0.8	1.0	0.95	0.04	0.03	1	0.07	0.05	1355.3	30
2016-01-18T20:54	2016-01-18T21:24	40	232.9	0.7	0.8	0.95	0.03	0.03	1	0.06	0.05	1954.4	30
2016-01-19T12:31	2016-01-19T13:02	40	232.9	0.8	0.8	0.95	0.04	0.03	1	0.07	0.05	1096.7	30
2016-01-19T20:42	2016-01-19T21:13	40	232.9	0.8	0.9	0.95	0.04	0.03	1	0.07	0.05	2370.2	30
