T,T,FF,"dFF +","dFF -",dT,ns,"dns +","dns -"
K,C,,,,,m-2,m-2,m-2
233,-40.15,1,0.000959,0,0.4,,,
,,,,,,,,
235,-38.15,0.99,0.01,0.03,0.4,,,
236,-37.15,0.91,0.05,0.09,0.4,784000000000,73300000000,94900000000
237,-36.15,0.8,0.07,0.09,0.4,534000000000,61900000000,71400000000
238,-35.15,0.67,0.11,0.13,0.4,364000000000,67100000000,74200000000
239,-34.15,0.44,0.11,0.11,0.4,192000000000,51200000000,50600000000
240,-33.15,0.3,0.12,0.09,0.4,115000000000,47600000000,36300000000
241,-32.15,0.14,0.07,0.05,0.4,48200000000,25500000000,19200000000
242,-31.15,0.13,0.08,0.07,0.4,45600000000,26900000000,24800000000
