,,,,,,,,,,Filter,b919_02,b919_04,b920_02,b920_04,b920_06,b920_08,b921_02,b921_04,b921_06,b922_02,b922_04,b924_02,b924_04,b924_06,b924_08,b924_10,b925_02,b926_02,b927_02,b928_02,b928_04,b928_06,b928_09,b929_01,b930_04,b930_06,b931_02,b932_02,b932_04,b932_06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,n(d>0.5um/cm3),4.114647867,17.1719220321,2.7589751828,3.9520197083,7.3416679542,13.9196511227,16.1178823373,1.3167788745,9.6528766998,7.5753669123,1.5885679611,11.3232454375,156.6900752595,210.0042795146,212.7208334451,23.284818443,13.5593375069,11.0160905371,57.5536175436,15.4706014937,19.0449409512,71.8629040945,13.52227045,53.152746389,20.3713488659,12.6655807374,9.1396921247,8.0982989123,46.4431220327,29.4235943023
,,,,,,,,,,error in n(d>0.5um/cm3),0.0175366777,1.8443935719,0.1251643207,0.8157296271,1.8010046663,5.9553972524,2.0326094412,0.5289459543,0.8459546449,8.4221182307,3.1117392658,3.776302415,15.1247789317,18.6952016612,16.6745551556,4.3858056509,2.2305711872,1.7504297005,7.8717122668,0.5471386436,3.1438977449,12.7314945393,2.0949359744,8.0922265528,8.9680848268,1.5514471921,0.7139664351,0.6736098931,3.97301646,4.0727376175
,,,,,,,using a correction factor of 1,233.15,-40,n_inp (/m3),5285865.08530806,31529992.4292322,3207265.95327588,5026018.79916181,10900430.6123301,24251336.0443857,29129646.0665823,1272305.17765317,15346918.261879,11335869.1038569,1608634.87773155,18735439.3906534,500036944.802807,721083258.800423,732761704.040695,46136144.8096127,23469201.8522462,18102335.1927434,142985176.126415,27674783.4116268,35885976.6033075,188725761.433804,23389032.3039465,129451583.786406,39036867.8431424,21551704.1254567,14333910.5431032,12322320.0610255,109358360.252719,61811585.8841054
,,alpha,beta,gamma,delta,,,243.15,-30,n_inp (/m3),53132.6476058101,316934.304928182,32238.9105516847,50520.715418615,109569.338060918,243770.446506076,292806.417560597,12789.0026628165,154264.701554725,113946.294254636,16169.7335640462,188325.559358385,5026289.23540622,7248210.47566695,7365600.28897486,463752.949516856,235908.562076429,181961.699951756,1437263.50434023,278182.377121983,360719.94235221,1897040.35471349,235102.710945198,1301226.05710362,392392.183544236,216634.189886033,144082.114357545,123861.937246231,1099252.2745628,621319.908422338
,,0,1.25,0.46,-11.6,,,253.15,-20,n_inp (/m3),534.0806464111,3185.7715749777,324.0602334515,507.8259330893,1101.3729888366,2450.3404876751,2943.2420142937,128.5529541043,1550.643441223,1145.3694335573,162.5355058203,1893.0175891867,50523.4337993233,72857.8211439366,74037.804265401,4661.5684746328,2371.314116745,1829.0491197294,14447.1366673844,2796.2435618819,3625.8976103381,19068.7380465215,2363.2138335392,13079.7105926428,3944.2617764648,2177.5712934062,1448.2897472616,1245.0398482112,11049.5033058201,6245.4056643321
,,,,,,,,263.15,-10,n_inp (/m3),5.3684909321,32.0228525916,3.257400238,5.1045828663,11.0708203774,24.6304201005,29.5849852844,1.2921931791,15.5868131697,11.513065413,1.6337802072,19.0283018682,507.8532578057,732.3548508507,744.2158473691,46.8573206194,23.8360600005,18.3853013204,145.2202447608,28.107380986,36.446927206,191.6758227011,23.7546372842,131.4751024646,39.6470715109,21.8885889635,14.5579706501,12.5149360497,111.0677922899,62.7777918965
,,,,,,,,273.15,0,n_inp (/m3),0.053963189,0.3218884543,0.0327428521,0.0513104285,0.111282068,0.2475809372,0.2973834126,0.0129889136,0.1566760858,0.1157274424,0.0164224903,0.1912693649,5.1048575298,7.3615106675,7.4807354563,0.4710020903,0.2395961599,0.184806029,1.4597300471,0.2825307769,0.3663585257,1.926693886,0.2387777122,1.3215661345,0.3985258506,0.2200205009,0.1463343298,0.1257980815,1.1164352046,0.6310320526
,,,,,,,using a correction factor of 3,233.15,-40,n_inp (/m3),15857595.2559242,94589977.2876965,9621797.85982763,15078056.3974854,32701291.8369903,72754008.133157,87388938.199747,3816915.53295952,46040754.785637,34007607.3115708,4825904.63319464,56206318.1719601,1500110834.40842,2163249776.40127,2198285112.12209,138408434.428838,70407605.5567386,54307005.5782301,428955528.379246,83024350.2348806,107657929.809922,566177284.301411,70167096.9118394,388354751.359217,117110603.529427,64655112.3763701,43001731.6293096,36966960.1830765,328075080.758157,185434757.652316
,,,,,,,,243.15,-30,n_inp (/m3),159397.94281743,950802.914784545,96716.7316550542,151562.146255845,328708.014182753,731311.339518228,878419.25268179,38367.0079884496,462794.104664175,341838.882763909,48509.2006921387,564976.678075156,15078867.7062187,21744631.4270008,22096800.8669246,1391258.84855057,707725.686229286,545885.099855268,4311790.51302069,834547.131365949,1082159.82705663,5691121.06414048,705308.132835595,3903678.17131086,1177176.55063271,649902.569658098,432246.343072634,371585.811738694,3297756.82368839,1863959.72526701
