T,T,FF,"dFF +","dFF -",dT,ns,"dns +","dns -"
K,C,,,,K,m-2,m-2,m-2
235,-38.15,0.96,0.02,0.04,0.4,,,
236,-37.15,0.9,0.05,0.1,0.4,,,
237,-36.15,0.87,0.06,0.09,0.4,,,
238,-35.15,0.75,0.11,0.1,0.4,433000000000,91600000000,105000000000
239,-34.15,0.63,0.1,0.11,0.4,309000000000,83300000000,77400000000
240,-33.15,0.54,0.11,0.09,0.4,236000000000,70200000000,72000000000
241,-32.15,0.41,0.11,0.1,0.4,163000000000,56500000000,53300000000
242,-31.15,0.32,0.11,0.1,0.4,119000000000,49300000000,45500000000
243,-30.15,0.21,0.11,0.07,0.4,75300000000,42500000000,39100000000
244,-29.15,0.16,0.1,0.07,0.4,52900000000,40600000000,27400000000
245,-28.15,0.11,0.1,0.07,0.4,35000000000,38300000000,26700000000
246,-27.15,0.08,0.06,0.03,0.4,25500000000,26400000000,21300000000
247,-26.15,0.06,0.07,0.05,0.4,,,
,,,,,,,,
249,-24.15,0.06,0.06,0.02,0.4,,,
250,-23.15,0.06,0.03,0.01,0.4,,,
251,-22.15,0.05,0.04,0.01,0.4,,,
