Egypt,Egypt,Egypt,Egypt,Egypt,,Atacama milled,Atacama milled,Atacama milled,Atacama milled,,Etosha,Etosha,Etosha,Etosha,,Taklamakan,Taklamakan,Taklamakan,Taklamakan
T ©,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2)
254.15,-19,0.2,11800000,3280000,,261.91,0.2,118500.21,137330.22,,258.73,0.2,91162.94,153344.11,,258.11,0.2,246725.69,283842
254.14,-19.01,0.2,12000000,3340000,,261.52,0.2,158060.74,141797.41,,258.67,0.2,136790.69,155457.71,,257.95,0.2,329093.5,291623.53
254.07,-19.08,0.2,12200000,3390000,,261.46,0.2,197651.58,147335.46,,258.58,0.2,182449.34,158352.6,,257.58,0.2,411524.43,301316.96
254.04,-19.11,0.2,12400000,3490000,,261.43,0.2,237272.77,153831.39,,257.92,0.2,228138.94,161988.51,,257.46,0.2,494018.57,312749.23
253.97,-19.18,0.2,12800000,3550000,,261.42,0.2,276924.36,161171.96,,257.88,0.2,273859.53,166318.39,,257.39,0.2,576576.03,325741.8
253.95,-19.2,0.2,13000000,3650000,,261.02,0.2,316606.4,169249.73,,257.88,0.2,319611.16,171291.17,,256.64,0.2,659196.89,340120.22
253.93,-19.22,0.2,13500000,3720000,,261.01,0.2,356318.93,177966.65,,257.76,0.2,365393.86,176854.09,,256.63,0.2,741881.26,355720.62
253.85,-19.3,0.2,13700000,3770000,,260.9,0.2,396062,187235.67,,257.74,0.2,411207.68,182954.77,,256.62,0.2,824629.24,372393.42
253.85,-19.3,0.2,13900000,3830000,,260.88,0.2,515474.93,217649.08,,257.71,0.2,457052.66,189542.68,,256.6,0.2,907440.92,390004.9
253.79,-19.36,0.2,14100000,3880000,,260.75,0.2,555340.64,228469.06,,257.65,0.2,502928.84,196570.18,,256.59,0.2,990316.39,408437.28
253.78,-19.37,0.2,14300000,3940000,,260.62,0.2,595237.12,239557.22,,257.52,0.2,548836.26,203993.14,,256.51,0.2,1070000,427587.89
