T [°C],n_s[m-2],n_s[m-2],
,Lower limit,Upper limit,
,10K/min,,0.1K/min
,1% K-feldspar,25% K-feldspar,
-6,NaN,2.36E-003,
-6.1,NaN,3.78E-003,
-6.2,1.87E-005,5.68E-003,
-6.3,5.60E-005,8.51E-003,
-6.4,9.33E-005,1.23E-002,
-6.5,1.40E-004,1.75E-002,
-6.6,2.05E-004,2.46E-002,
-6.7,2.98E-004,3.45E-002,
-6.8,4.29E-004,4.78E-002,
-6.9,5.97E-004,6.60E-002,
-7,8.39E-004,9.03E-002,
-7.1,1.14E-003,1.23E-001,
-7.2,1.55E-003,1.67E-001,
-7.3,2.11E-003,2.27E-001,
-7.4,2.84E-003,3.06E-001,
-7.5,3.80E-003,4.10E-001,
-7.6,5.07E-003,5.49E-001,
-7.7,6.75E-003,7.32E-001,
-7.8,8.97E-003,9.74E-001,
-7.9,1.19E-002,1.29E+000,
-8,1.56E-002,1.71E+000,
-8.1,2.05E-002,2.25E+000,
-8.2,2.69E-002,2.96E+000,
-8.3,3.52E-002,3.88E+000,
-8.4,4.58E-002,5.07E+000,
-8.5,5.96E-002,6.61E+000,
-8.6,7.72E-002,8.60E+000,
-8.7,9.99E-002,1.12E+001,
-8.8,1.29E-001,1.44E+001,
-8.9,1.66E-001,1.86E+001,
-9,2.13E-001,2.40E+001,
-9.1,2.73E-001,3.08E+001,
-9.2,3.49E-001,3.95E+001,
-9.3,4.45E-001,5.05E+001,
-9.4,5.66E-001,6.44E+001,
-9.5,7.19E-001,8.20E+001,
-9.6,9.12E-001,1.04E+002,
-9.7,1.15E+000,1.32E+002,
-9.8,1.46E+000,1.67E+002,
-9.9,1.83E+000,2.11E+002,
-10,2.31E+000,2.66E+002,
-10.1,2.89E+000,3.34E+002,
-10.2,3.62E+000,4.19E+002,
-10.3,4.53E+000,5.25E+002,
-10.4,5.65E+000,6.57E+002,
-10.5,7.04E+000,8.19E+002,
-10.6,8.76E+000,1.02E+003,
-10.7,1.09E+001,1.27E+003,
-10.8,1.35E+001,1.57E+003,
-10.9,1.67E+001,1.95E+003,
-11,2.06E+001,2.41E+003,
-11.1,2.54E+001,2.97E+003,
-11.2,3.12E+001,3.66E+003,
-11.3,3.84E+001,4.51E+003,
-11.4,4.71E+001,5.54E+003,
-11.5,5.76E+001,6.79E+003,
-11.6,7.05E+001,8.31E+003,
-11.7,8.61E+001,1.02E+004,
-11.8,1.05E+002,1.24E+004,
-11.9,1.28E+002,1.51E+004,
-12,1.55E+002,1.84E+004,
-12.1,1.89E+002,2.23E+004,
-12.2,2.29E+002,2.70E+004,
-12.3,2.77E+002,3.27E+004,
-12.4,3.34E+002,3.96E+004,
-12.5,4.04E+002,4.78E+004,
-12.6,4.87E+002,5.76E+004,
-12.7,5.86E+002,6.94E+004,
-12.8,7.04E+002,8.34E+004,
-12.9,8.46E+002,1.00E+005,
-13,1.01E+003,1.20E+005,
-13.1,1.21E+003,1.44E+005,
-13.2,1.45E+003,1.72E+005,
-13.3,1.73E+003,2.05E+005,
-13.4,2.07E+003,2.45E+005,
-13.5,2.47E+003,2.92E+005,
-13.6,2.93E+003,3.47E+005,
-13.7,3.49E+003,4.12E+005,
-13.8,4.14E+003,4.89E+005,
-13.9,4.91E+003,5.80E+005,
-14,5.82E+003,6.86E+005,
-14.1,6.88E+003,8.11E+005,
-14.2,8.13E+003,9.58E+005,
-14.3,9.60E+003,1.13E+006,
-14.4,1.13E+004,1.33E+006,
-14.5,1.33E+004,1.57E+006,
-14.6,1.57E+004,1.84E+006,
-14.7,1.84E+004,2.16E+006,
-14.8,2.16E+004,2.53E+006,
-14.9,2.54E+004,2.97E+006,
-15,2.97E+004,3.47E+006,
-15.1,3.48E+004,4.06E+006,
-15.2,4.07E+004,4.73E+006,
-15.3,4.75E+004,5.52E+006,
-15.4,5.54E+004,6.43E+006,
-15.5,6.45E+004,7.48E+006,
-15.6,7.51E+004,8.70E+006,
-15.7,8.74E+004,1.01E+007,
-15.8,1.02E+005,1.17E+007,
-15.9,1.18E+005,1.36E+007,
-16,1.37E+005,1.57E+007,
-16.1,1.58E+005,1.82E+007,
-16.2,1.83E+005,2.10E+007,
-16.3,2.12E+005,2.42E+007,
-16.4,2.45E+005,2.79E+007,
-16.5,2.83E+005,3.21E+007,
-16.6,3.26E+005,3.69E+007,
-16.7,3.75E+005,4.25E+007,
-16.8,4.32E+005,4.88E+007,
-16.9,4.97E+005,5.59E+007,
-17,5.71E+005,6.41E+007,
-17.1,6.55E+005,7.34E+007,
-17.2,7.51E+005,8.39E+007,
-17.3,8.61E+005,9.59E+007,
-17.4,9.86E+005,1.09E+008,
-17.5,1.13E+006,1.25E+008,
-17.6,1.29E+006,1.42E+008,
-17.7,1.47E+006,1.62E+008,
-17.8,1.68E+006,1.84E+008,
-17.9,1.91E+006,2.09E+008,
-18,2.18E+006,2.37E+008,
-18.1,2.48E+006,2.69E+008,
-18.2,2.82E+006,3.05E+008,
-18.3,3.20E+006,3.45E+008,
-18.4,3.63E+006,3.91E+008,
-18.5,4.12E+006,4.41E+008,
-18.6,4.67E+006,4.98E+008,
-18.7,5.29E+006,5.62E+008,
-18.8,5.98E+006,6.34E+008,
-18.9,6.77E+006,7.13E+008,
-19,7.64E+006,8.03E+008,
-19.1,8.63E+006,9.02E+008,
-19.2,9.73E+006,1.01E+009,
-19.3,1.10E+007,1.14E+009,
-19.4,1.23E+007,1.27E+009,
-19.5,1.39E+007,1.43E+009,
-19.6,1.56E+007,1.60E+009,
-19.7,1.75E+007,1.79E+009,
-19.8,1.97E+007,2.00E+009,
-19.9,2.21E+007,2.23E+009,
-20,2.47E+007,2.48E+009,
-20.1,2.77E+007,2.77E+009,
-20.2,3.10E+007,3.08E+009,
-20.3,3.47E+007,3.43E+009,
-20.4,3.87E+007,3.81E+009,
-20.5,4.32E+007,4.23E+009,
-20.6,4.82E+007,4.70E+009,
-20.7,5.37E+007,5.21E+009,
-20.8,5.98E+007,5.77E+009,
-20.9,6.66E+007,6.38E+009,
-21,7.41E+007,7.06E+009,
-21.1,8.23E+007,7.80E+009,
-21.2,9.14E+007,8.61E+009,
-21.3,1.01E+008,9.49E+009,
-21.4,1.12E+008,1.05E+010,
-21.5,1.25E+008,1.15E+010,
-21.6,1.38E+008,1.27E+010,
-21.7,1.53E+008,1.39E+010,
