,,cm2,1.00% m2 *10000,25.00% m2 *10000,,,,,
235.1658767773,-37.9841232227,4305562.95290741,430556295.290741,10763907382.2685,,,,,0.01
236.6587677725,-36.4912322275,4291853.49812724,429185349.812724,10729633745.3181,,,,,
238.2938388626,-34.8561611374,4276888.46261261,427688846.261261,10692221156.5315,,,,,
240.5687203791,-32.5812796209,4256154.30771153,425615430.771153,10640385769.2788,,,,,
242.8436018957,-30.3063981043,3972590.53588996,397259053.588996,9931476339.7249,,,,,
243.7322274882,-29.4177725118,3601636.37093872,360163637.093872,9004090927.3468,,,,,
244.4075829384,-28.7424170616,3266809.33613003,326680933.613003,8167023340.32508,,,,,
245.1895734597,-27.9604265403,2869011.43563295,286901143.563295,7172528589.08238,,,,,
245.971563981,-27.178436019,2216535.88391202,221653588.391202,5541339709.78005,,,,,
246.7180094787,-26.4319905213,1768343.91495642,176834391.495642,4420859787.39105,,,,,
247.3933649289,-25.7566350711,1366495.33064984,136649533.064984,3416238326.6246,,,,,
248.1042654028,-25.0457345972,990338.339121926,99033833.9121926,2475845847.80481,,,,,
248.7440758294,-24.4059241706,765346.304444013,76534630.4444013,1913365761.11003,,,,,
249.3838862559,-23.7661137441,520315.043763736,52031504.3763736,1300787609.40934,,,,,
250.0947867299,-23.0552132701,353678.631122139,35367863.1122139,884196577.805347,,,,,
250.7345971564,-22.4154028436,225519.558300906,22551955.8300906,563798895.752265,,,,,
251.4099526066,-21.7400473934,143789.318725136,14378931.8725136,359473296.81284,,,,,
252.5473933649,-20.6026066351,60384.547957167,6038454.7957167,150961369.892918,,,,,
253.7203791469,-19.4296208531,23782.5836784867,2378258.36784867,59456459.1962167,,,,,
254.7867298578,-18.3632701422,9073.496560625,907349.6560625,22683741.4015625,,,,,
255.8530805687,-17.2969194313,3144.4219656768,314442.19656768,7861054.914192,,,,,
256.8483412322,-16.3016587678,1089.8655346293,108986.55346293,2724663.83657325,,,,,
257.7725118483,-15.3774881517,354.354513902,35435.4513902,885886.284755,,,,,
258.7322274882,-14.4177725118,111.5715692125,11157.15692125,278928.92303125,,,,,
259.6208530806,-13.5291469194,35.1346044263,3513.46044263,87836.51106575,,,,,
260.4739336493,-12.6760663507,10.3780694035,1037.80694035,25945.17350875,,,,,
261.2203791469,-11.9296208531,3.2691135645,326.91135645,8172.78391125,,,,,
262.0023696682,-11.1476303318,1.0296994175,102.96994175,2574.24854375,,,,,
