T,T,FF,"dFF +","dFF -",dT,ns,"dns +","dns -"
K,C,,,,K,m-2,m-2,m-2
233,-40.15,0.99,0,0.04,0.4,,,
,,,,,,,,
235,-38.15,0.91,0.07,0.11,0.4,,,
236,-37.15,0.73,0.11,0.12,0.4,401000000000,62200000000,64400000000
237,-36.15,0.44,0.12,0.11,0.4,178000000000,50200000000,46300000000
238,-35.15,0.44,0.1,0.13,0.4,180000000000,41800000000,52400000000
239,-34.15,0.23,0.12,0.11,0.4,81500000000,42400000000,40300000000
,,,,,,,,
241,-32.15,0.15,0.12,0.09,0.4,48500000000,39500000000,31100000000
,,,,,,,,
243,-30.15,0.1,0.12,0.1,0.4,33700000000,39700000000,33100000000
244,-29.15,0.09,0.08,0.08,0.4,,,
