20150812_b919_filter4_002l,,,,errors,,,,,,,,,
Total flow (litres),,,2,,,,,,,,,,
Total area (um2/cm3),,,2589.03928413,2309.64762497,,,,,,,,,
Area for d>0.5um (um2/cm3),,,2573.87958927,2309.64762497,,,,,,,,,
Total number (um2/cm3),,,119.051647024,5.8687562126,,,,,,,,,
Number for d>0.5um (um2/cm3),,,17.1719220321,1.8443935719,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-13.67,0.0120481928,10229.8789075,6397.94238155,0.0121213605,0.0005,0.0202,0.0116213605,0.0080786395,7742.8054464,5714.21741469,2471164.65971,3119454.04812,3715310.96003
-17.2,0.0240963855,17608.6950141,11012.7810049,0.0243914531,0.0143,0.0337,0.0100914531,0.0093085469,8287.42480624,7920.89166866,4253616.80388,4874304.57567,4964386.27241
-18.93,0.0361445783,24131.3372962,15092.1537788,0.0368139731,0.0264,0.0487,0.0104139731,0.0118860269,10398.8206634,10998.8892607,5829248.66045,6714884.29547,6570702.58559
-19.34,0.0481927711,34682.3273626,21690.9246073,0.0493927553,0.039,0.0637,0.0103927553,0.0143072447,12670.5496689,14084.103667,8377982.03381,9243995.23073,8933612.37332
-19.36,0.0602409639,47314.5334024,29591.3237347,0.0621317811,0.0511,0.0794,0.0110317811,0.0172682189,15322.7485521,17430.4494586,11429461.0808,12218227.1665,11789245.261
-19.52,0.0722891566,59334.9778474,37109.1166289,0.0750351859,0.0637,0.0919,0.0113351859,0.0168648141,17979.4974927,19602.4485799,14333160.8973,14859929.9097,14550540.4992
-19.76,0.0843373494,70982.9918614,44393.98512,0.0881072675,0.0756,0.1091,0.0125072675,0.0209927325,20918.9089627,23426.2526829,17146895.1407,17772285.5211,17299322.5327
-21.31,0.0963855422,71351.5239009,44624.471402,0.1013524943,0.0875,0.1232,0.0138524943,0.0218475057,23940.5575874,26168.533277,17235919.005,18400530.2568,17942249.5781
-21.43,0.1084337349,83443.4724115,52186.9841698,0.1147755146,0.0989,0.1393,0.0158755146,0.0245244854,27154.0849525,29563.7986327,20156891.589,21300963.7039,20816855.6563
-21.65,0.1204819277,94453.5563999,59072.8802406,0.1283811666,0.1118,0.1536,0.0165811666,0.0252188334,30111.7663399,32371.959062,22816525.2659,23887966.4208,23442831.8983
-21.73,0.1325301205,107250.631547,67076.3913458,0.1421744888,0.1232,0.1694,0.0189744888,0.0272255112,33480.6948035,35637.9146867,25907830.6602,26900539.356,26483864.0789
-21.74,0.1445783133,121110.303125,75744.4685527,0.1561607308,0.1359,0.1868,0.0202607308,0.0306392692,36647.2404729,39365.5987234,29255820.4957,30204750.9564,29690083.1545
-22.04,0.156626506,131276.858068,82102.8070368,0.1703453657,0.1499,0.206,0.0204453657,0.0356546343,39629.9059823,43637.9586885,31711688.4012,32930036.4046,32165171.8227
-22.18,0.1686746988,143635.93581,89832.3870244,0.1847341032,0.1613,0.2217,0.0234341032,0.0369658968,43238.4350642,46789.4690371,34697189.6391,35842492.7316,35170886.8278
-22.22,0.1807228916,157635.699662,98588.080351,0.1993329026,0.1736,0.2385,0.0257329026,0.0391670974,46750.8738035,50266.0609475,38079020.645,39126548.2175,38470899.3981
