Flight/sample#,,20150823_b924_filter8_050l,,,,,,,,,,,
Total flow (litres),,,50,,,,,,,,,,
Total area (um2/cm3),,,1873.5744611893,220.4508653165,,,,,,,,,
Area for d>0.5um (um2/cm3),,,1741.8560279899,219.3748865638,,,,,,,,,
Total number (um2/cm3),,,913.7052606161,140.0249175595,,,,,,,,,
Number for d>0.5um (um2/cm3),,,212.7208334451,16.6745551556,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-12.53,0.0175438596,16447.316200076,4.11E+02,0.0176995771,0.0007,0.0298,0.0169995771,0.0121004229,439.23535464,322.0331179891,219610.907682279,1.74E+05,235856.872269139
-13.12,0.0350877193,34167.8719851136,8.55E+02,0.0357180826,0.0207,0.0499,0.0150180826,0.0141819174,436.2433968643,418.3633660383,456222.601240441,2.30E+05,238948.018543922
-14.1,0.0526315789,51857.3847546353,1.30E+03,0.0540672213,0.0381,0.0737,0.0159672213,0.0196327787,521.7194007682,594.8602449925,692419.796485826,3.28E+05,290135.940950985
-14.12,0.0701754386,70533.4710441926,1.76E+03,0.0727593543,0.0564,0.0965,0.0163593543,0.0237406457,609.4799449824,746.1276602813,941790.101775104,4.13E+05,343659.708619259
-14.47,0.0877192982,89281.2111963563,2.23E+03,0.0918075493,0.0737,0.1174,0.0181075493,0.0255924507,727.9803123277,857.1229389659,1192117.1570663,4.79E+05,413095.082763092
-14.83,0.1052631579,108347.89436231,2.71E+03,0.1112256351,0.0919,0.1427,0.0193256351,0.0314743649,842.850149175,1047.2027931806,1446702.86245611,5.84E+05,480990.688737134
-14.94,0.1228070175,128033.695986428,3.20E+03,0.1310282624,0.1091,0.1653,0.0219282624,0.0342717376,981.0350034324,1181.7670179433,1709555.27621987,6.62E+05,560924.754269109
-15,0.1403508772,148170.693341964,3.71E+03,0.1512309697,0.1294,0.1914,0.0218309697,0.0401690303,1086.0379667295,1375.1462986763,1978432.2293622,7.70E+05,624657.856840966
-15.5,0.1578947368,168183.209839074,4.21E+03,0.1718502569,0.1463,0.2163,0.0255502569,0.0444497431,1243.5598068748,1540.908109827,2245647.06608532,8.64E+05,714397.469127238
-15.5,0.1754385965,189236.619036906,4.73E+03,0.1929036661,0.1653,0.2385,0.0276036661,0.0455963339,1382.2562871408,1653.7522058261,2526760.30349734,9.31E+05,795416.536789449
-15.55,0.1929824561,210675.89063338,5.27E+03,0.2144098713,0.1823,0.2696,0.0321098713,0.0551901287,1554.5245134746,1917.6925885373,2813025.72443736,1.08E+06,893293.809857375
