20150807_ptfe_d_hplc_1_blank_2,,K,,20150810_ptfe_d_hplc_1_blank_1,,,,20150810_ptfe_d_hplc_1_blank_3,,,,20150810_ptfe_d_hplc_1_blank_4,,,,20150810_ptfe_d_hplc_1_blank_5,,,,20150810_ptfe_d_hplc_1_blank_6,,,,20150811_ptfe_d_hplc_1_blank_1,,,,20150812_ptfe_d_hplc_1_blank_1,,,,,,,20150812_ptfe_d_hplc_1_blank_2,,,,20150813_ptfe_d_hplc_1_blank_1,,,,20150815_ptfe_c_hplc_1_blank_1,,,,20150815_ptfe_c_hplc_1_blank_2,,,,20150817_ptfe_c_hplc_1_blank_1,,,,20150817_ptfe_c_hplc_1_blank_2,,,,20150817_ptfe_c_hplc_1_blank_3,,,,20150817_ptfe_c_hplc_1_blank_4,,,,20150817_ptfe_c_hplc_1_blank_5,,,,all good blanks (i.e. not the red ones),f,K,lnK,fitted K,SUMMARY OUTPUT,,,,,,,,
-18.39,0.0108695652,10929.0705321903,,-9.21,0.0071942446,7220.247973487,,-14.63,0.0083333333,8368.2496705166,,-15.77,0.0079365079,7968.1696491769,,-17.31,0.0090909091,9132.4835632725,,-16.83,0.0102040816,10256.5001671891,,-13.57,0.01250,12578.7822068601,,-14.35,0.0108695652,10929.0705321903,,,,,-15.49,0.0133333333,13423.0203321407,,-14.48,0.0126582278,12739.0257774297,,-20.13,0.0097087379,9756.1749453647,,-21.71,0.0088495575,8888.947417246,,-14.14,0.0106382979,10695.2891167479,,-17.5,0.012987013,13072.0815673528,,-16.44,0.012987013,13072.0815673528,,-15.11,0.0113636364,11428.6958236227,,-16.67,0.012345679,12422.5199985572,,-16.67,0.012345679,12422.5199985572,9.4272662333,5599.3439168411,,,,,,,,,
-21.69,0.0217391304,21978.9067187752,,-14.6,0.0143884892,14493.0073025669,,-15.87,0.0166666667,16807.1183163813,,-16.87,0.0158730159,16000.3413464411,,-18.22,0.0181818182,18349.1386681965,,-17.8,0.0204081633,20619.2872027357,,-14.44,0.02500,25317.8079842899,,-18.93,0.0217391304,21978.9067187752,,,,,-15.57,0.0266666667,27028.6723879193,,-14.58,0.0253164557,25642.4306133377,,-21.47,0.0194174757,19608.4713883763,,-23.46,0.017699115,17857.6174000065,,-16.71,0.0212765957,21506.2052209636,,-20.92,0.025974026,26317.3083173734,,-20.14,0.025974026,26317.3083173734,,-16.23,0.0227272727,22989.5182246987,,-22.81,0.024691358,25001.3022054173,,-22.81,0.024691358,25001.3022054173,10.1266831907,51618.1945458274,Regression Statistics,,,,,,,,
-22.38,0.0326086957,33152.2073169005,,-14.64,0.0215827338,21819.0473946397,,-18.22,0.025,25317.8079842899,,-18.91,0.0238095238,24097.5515790605,,-19.41,0.0272727273,27651.53133051,,-20.34,0.0306122449,31090.5870700311,,-16.6,0.03750,38221.2128201977,,-20.12,0.0326086957,33152.2073169005,,,,,-15.88,0.04,40821.9945202552,,-19.13,0.0379746835,38714.5121806904,,-22.49,0.0291262136,29558.8022415444,,-23.52,0.0265486726,26907.4529199244,,-16.72,0.0319148936,32435.2757531538,,-21.21,0.038961039,39740.3286495141,,-20.75,0.038961039,39740.3286495141,,-20.08,0.0340909091,34685.55798789,,-23.38,0.037037037,37740.327982847,,-23.38,0.037037037,37740.327982847,10.5384845095,63439.0196822242,Multiple R,0.9682912532,,,,,,,
-23.39,0.0434782609,44451.7625708338,,-18.32,0.0287769784,29199.1546922624,,-18.66,0.0333333333,33901.5516756813,,-18.97,0.0317460317,32260.8622182214,,-23.12,0.0363636364,37041.2716803491,,-20.62,0.0408163265,41672.6964005681,,-17.06,0.05000,51293.2943875506,,-21.93,0.0434782609,44451.7625708338,,,,,-16.51,0.0533333333,54808.236494995,,-19.49,0.0506329114,51959.7389307111,,-23.44,0.0388349515,39609.1380950458,,-24,0.0353982301,36039.9364831969,,-16.74,0.0425531915,43485.1119397388,,-22.98,0.0519480519,53345.9807052927,,-21.29,0.0519480519,53345.9807052927,,-21.65,0.0454545455,46520.0156348928,,-24.25,0.049382716,50643.7328187549,,-24.25,0.049382716,50643.7328187549,10.832570767,86904.7707019542,R Square,0.937587951,,,,,,,
-24.46,0.0543478261,55880.4583944566,,-19.09,0.035971223,36634.1331797804,,-19.44,0.0416666667,42559.6144187959,,-19.76,0.0396825397,40491.3613547369,,-23.18,0.0454545455,46520.0156348928,,-22.62,0.0510204082,52367.9855173159,,-17.08,0.06250,64538.5211375712,,-22.58,0.0543478261,55880.4583944566,,,,,-16.98,0.0666666667,68992.8714869514,,-19.83,0.0632911392,65382.7592628517,,-23.59,0.0485436893,49761.5095590638,,-24.14,0.0442477876,45256.5915881208,,-18.52,0.0531914894,54658.4125378641,,-23.66,0.0649350649,67139.3028376286,,-23.57,0.0649350649,67139.3028376286,,-22.34,0.0568181818,58496.2066816085,,-24.55,0.0617283951,63715.8143861077,,-24.55,0.0617283951,63715.8143861077,11.0621880743,96867.2832564929,Adjusted R Square,0.9375120239,,,,,,,
-25.05,0.0652173913,67441.2807955325,,-19.68,0.0431654676,44124.8049089379,,-19.91,0.05,51293.2943875506,,-20.02,0.0476190476,48790.1641694321,,-23.61,0.0545454545,56089.4666510436,,-22.99,0.0612244898,63178.9016215316,,-17.67,0.07500,77961.5414697118,,-22.86,0.0652173913,67441.2807955325,,,,,-17.01,0.08,83381.608939051,,-20.78,0.0759493671,78988.4113186303,,-23.65,0.0582524272,60018.0097262529,,-24.43,0.0530973451,54558.9842504344,,-18.93,0.0638297872,65957.9677917974,,-24.46,0.0779220779,81125.5448123685,,-24.48,0.0779220779,81125.5448123685,,-22.46,0.0681818182,70617.5672139533,,-24.58,0.0740740741,76961.0411361283,,-24.58,0.0740740741,76961.0411361283,11.2510546135,97924.2986704109,Standard Error,0.3006330078,,,,,,,
-25.17,0.0760869565,79137.3205587239,,-21.15,0.0503597122,51672.0105443209,,-19.91,0.0583333333,60103.9240697054,,-20.31,0.0555555556,57158.4138399486,,-23.92,0.0636363636,65751.3775627804,,-23.8,0.0714285714,74107.9721537219,,-18.62,0.08750,91567.1935254905,,-22.91,0.0760869565,79137.3205587239,,,,,-19.89,0.0933333333,97980.4083602038,,-20.8,0.0886075949,92781.7334509662,,-24.05,0.067961165,70380.7967617995,,-24.6,0.0619469027,63948.7246002734,,-19.61,0.0744680851,77386.6636154202,,-26.07,0.0909090909,95310.1798043249,,-24.88,0.0909090909,95310.1798043249,,-23.27,0.0795454545,82887.6598057678,,-24.94,0.0864197531,90384.061468269,,-24.94,0.0864197531,90384.061468269,11.4118232196,111545.144855013,Observations,824,,,,,,,
-25.66,0.0869565217,90971.7782057266,,-22.12,0.0575539568,59276.6099295402,,-20.14,0.0666666667,68992.8714869514,,-20.57,0.0634920635,65597.2824858132,,-24.13,0.0727272727,75507.5525081452,,-23.9,0.0816326531,85157.8083403068,,-19.61,0.10000,105360.515657826,,-24.07,0.0869565217,90971.7782057266,,,,,-19.89,0.1066666667,112795.494145344,,-21.44,0.1012658228,106767.975425706,,-24.67,0.0776699029,80852.0966290949,,-24.69,0.0707964602,73427.4685548172,,-20.12,0.085106383,88947.4860164962,,-26.11,0.1038961039,109698.917256425,,-25.04,0.1038961039,109698.917256425,,-24.2,0.0909090909,95310.1798043249,,-25.22,0.0987654321,103989.713524048,,-25.22,0.0987654321,103989.713524048,11.5520472648,123436.028490575,,,,,,,,,
-26.09,0.097826087,102947.969252442,,-22.12,0.0647482014,66939.4826751094,,-20.86,0.075,77961.5414697118,,-20.63,0.0714285714,74107.9721537219,,-24.69,0.0818181818,85359.8489511568,,-24.05,0.0918367347,96331.1089384321,,-19.72,0.11250,119346.757632566,,-24.35,0.097826087,102947.969252442,,,,,-19.94,0.12,127833.371509885,,-22.4,0.1139240506,120952.610417663,,-24.82,0.0873786408,91434.2059596318,,-24.79,0.0796460177,82996.9195709679,,-20.34,0.0957446809,100643.525779687,,-26.57,0.1168831169,124297.716677577,,-25.58,0.1168831169,124297.716677577,,-24.3,0.1022727273,107888.962011185,,-25.75,0.1111111111,117783.035656383,,-25.75,0.1111111111,117783.035656383,11.6765995301,149524.075632241,ANOVA,,,,,,,,
-26.09,0.1086956522,115069.329784787,,-22.18,0.071942446,74661.5287690196,,-21.16,0.0833333333,87011.3769896298,,-20.63,0.0793650794,82691.7158451133,,-24.82,0.0909090909,95310.1798043249,,-24.99,0.1020408163,107630.664192365,,-20.11,0.12500,133531.392624523,,-24.58,0.1086956522,115069.329784787,,,,,-20.03,0.1333333333,143100.843640673,,-22.49,0.1265822785,135341.347869762,,-24.89,0.0970873786,102129.49507638,,-25.11,0.0884955752,92658.8304827048,,-21.26,0.1063829787,112477.98342669,,-26.81,0.1298701299,139112.802462718,,-25.81,0.1298701299,139112.802462718,,-24.31,0.1136363636,120627.987788615,,-26.06,0.1234567901,131769.277631123,,-26.06,0.1234567901,131769.277631123,11.7888077755,167269.109419139,,df,SS,MS,F,Significance F,,,
