0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,-20.5493103448,,,-20.83575,,,,-11.1744262295,,,-11.2879761905,,,,-8.8890123457,,,-9.5501136364,,,,-27.9225,,,-30.47,,,,-18.6373417722,,,-18.5680882353,,,,,,,,,
2,0.1wt% kaolinite,,,,,,,0.1wt% feldspar,,,,,,,1wt% feldspar,,,,,,,milliq,,,,,,,1wt% koalinite,,,,,,,,,,,,
3,glass slide,,,filter ,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,,,,,,
4,-12.2,0.0114942529,11560.822401076,-10.39,0.0125,12578.7822068601,,-8.94,0.0163934426,16529.3019512106,-8.05,0.0119047619,11976.1910467157,1,-5.54,0.0125,12578.7822068601,-6.72,0.0113636364,11428.6958236227,,-18.61,0.0166666667,16807.1183163813,-15.31,0.0131578947,13245.2267500207,,-10.03,0.0126582278,12739.0257774297,-10.24,0.0147058824,14815.0857851406,,-1,-1,,,,
5,-12.53,0.0229885057,23256.8621642672,-14.67,0.025,25317.8079842899,,-9.05,0.0327868852,33336.4202675918,-8.1,0.0238095238,24097.5515790605,2,-7.04,0.025,25317.8079842899,-7.33,0.0227272727,22989.5182246987,,-21.59,0.0333333333,33901.5516756813,-19.69,0.0263157895,26668.2470821613,,-14.43,0.0253164557,25642.4306133377,-10.66,0.0294117647,29852.9631496812,,-3,-3,,,,
6,-12.81,0.0344827586,35091.3198112701,-15.16,0.0375,38221.2128201977,,-9.19,0.0491803279,50430.853626892,-8.38,0.0357142857,36367.6441708748,3,-7.39,0.0375,38221.2128201977,-7.61,0.0340909091,34685.55798789,,-22.49,0.05,51293.2943875506,-23.19,0.0394736842,40273.89913794,,-14.5,0.0379746835,38714.5121806904,-11.53,0.0441176471,45120.4352804696,,-10,-10,,,,
7,-14.33,0.0459770115,47067.5108579857,-15.56,0.05,51293.2943875506,,-9.31,0.0655737705,67822.5963387611,-8.89,0.0476190476,48790.1641694321,4,-7.46,0.05,51293.2943875506,-7.64,0.0454545455,46520.0156348928,,-23.21,0.0666666667,68992.8714869514,-23.89,0.0526315789,54067.2212702757,,-15.01,0.0506329114,51959.7389307111,-14.16,0.0588235294,60624.6218164349,,-30,-30,,,,
8,-14.35,0.0574712644,59188.8713903307,-15.87,0.0625,64538.5211375712,,-9.45,0.0819672131,85522.173438162,-9.06,0.0595238095,61368.9463762921,5,-7.59,0.0625,64538.5211375712,-7.73,0.0568181818,58496.2066816085,,-23.54,0.0833333333,87011.3769896298,-24.46,0.0657894737,68053.4632450157,,-15.87,0.0632911392,65382.7592628517,-14.53,0.0735294118,76372.978784574,,-40,-40,,,,
9,-15.58,0.0689655172,71458.963982145,-16.39,0.075,77961.5414697118,,-9.46,0.0983606557,103540.67894084,-9.22,0.0714285714,74107.9721537219,6,-7.74,0.075,77961.5414697118,-7.74,0.0681818182,70617.5672139533,,-23.59,0.1,105360.515657826,-24.57,0.0789473684,82238.0982369721,,-16.63,0.0759493671,78988.4113186303,-15.63,0.0882352941,92373.3201310152,,,,,,,
10,-16.14,0.0804597701,83881.4839807021,-16.68,0.0875,91567.1935254905,,-9.53,0.1147540984,121889.817609037,-9.24,0.0833333333,87011.3769896298,7,-7.74,0.0875,91567.1935254905,-7.94,0.0795454545,82887.6598057678,,-23.86,0.1166666667,124052.648669979,-25.11,0.0921052632,96626.8356890716,,-16.69,0.0886075949,92781.7334509662,-16.37,0.1029411765,108633.841002795,,,,,,,
11,-16.43,0.091954023,96460.2661875622,-17.21,0.1,105360.515657826,,-9.74,0.131147541,140581.950621189,-9.37,0.0952380952,100083.458556983,8,-7.84,0.1,105360.515657826,-8,0.0909090909,95310.1798043249,,-23.93,0.1333333333,143100.843640673,-25.16,0.1052631579,111225.635110224,,-16.73,0.1012658228,106767.975425706,-16.65,0.1176470588,125163.142954006,,,,,,,
12,-16.87,0.1034482759,109199.291964992,-17.25,0.1125,119346.757632566,,-9.8,0.1475409836,159630.145591884,-9.46,0.1071428571,113328.685307003,9,-8,0.1125,119346.757632566,-8.09,0.1022727273,107888.962011185,,-24.26,0.15,162518.929497775,-28.22,0.1184210526,126040.720895365,,-16.78,0.1139240506,120952.610417663,-16.68,0.1323529412,141970.261270387,,,,,,,
13,-17.24,0.1149425287,122102.6968009,-17.48,0.125,133531.392624523,,-10.23,0.1639344262,179048.231448985,-9.52,0.119047619,126751.705639144,10,-8.16,0.125,133531.392624523,-8.15,0.1136363636,120627.987788615,,-24.4,0.1666666667,182321.556793955,-28.44,0.1315789474,141078.598259906,,-16.93,0.1265822785,135341.347869762,-16.73,0.1470588235,159064.694629687,,,,,,,
14,-17.38,0.1264367816,135174.778368253,-17.48,0.1375,147920.130076622,,-10.23,0.1803278689,198850.858745165,-9.67,0.130952381,140357.357694922,11,-8.19,0.1375,147920.130076622,-8.16,0.125,133531.392624523,,-25.14,0.1833333333,202524.264111474,-28.86,0.1447368421,156346.070390694,,-17,0.1392405063,149940.147290915,-16.79,0.1617647059,176456.437341557,,,,,,,
15,-17.47,0.1379310345,148420.005118273,-17.62,0.15,162518.929497775,,-10.33,0.1967213115,219053.566062685,-9.74,0.1428571429,154150.679827258,12,-8.22,0.15,162518.929497775,-8.37,0.1363636364,146603.474191875,,-25.37,0.2,223143.55131421,-29.25,0.1578947368,171850.256926659,,-17.09,0.1518987342,164755.233076055,-17.02,0.1764705882,194156.014440958,,,,,,,
16,-17.62,0.1494252874,161843.025450414,-18.02,0.1625,177334.015282916,,-10.33,0.2131147541,239672.85326542,-9.8,0.1547619048,168136.921801998,13,-8.22,0.1625,177334.015282916,-8.39,0.1477272727,159848.700941896,,-25.66,0.2166666667,244196.960512042,-29.68,0.1710526316,187598.613894798,,-17.09,0.164556962,179793.110440596,-17.39,0.1911764706,212174.519943636,,,,,,,
17,-17.74,0.1609195402,175448.677506193,-18.11,0.175,192371.892647456,,-10.33,0.2295081967,260726.262463253,-9.97,0.1666666667,182321.556793955,14,-8.23,0.175,192371.892647456,-8.44,0.1590909091,173271.721274037,,-25.66,0.2333333333,265703.165733006,-29.68,0.1842105263,203598.95524124,,-17.17,0.1772151899,195060.582571384,-17.4,0.2058823529,230523.658611832,,,,,,,
