all per cubic centimetre,,,,,,,,,,,,,,,,,,,,,,,,these were all generated using the code in size_dists_area_basic and size_dists_number_basic,,,,,,,,,,,,,,,
,,,STANDARD CUBIC CENTIMETRES,,,,,,,,,,,,,,,,,,,,,UP IN THE AIR CUBIC CENTIMETRES,,,,,,,,,,,,,,,
start,end,name,area between 0.1 and 100um diameter,error in area between 0.1 and 100um diameter,number between 0.1 and 100um diameter,error in total between 0.1 and 100um diameter,area between 0.5 and 100um diameter,error in area between 0.5 and 100um diameter,number between 0.5 and 100um diameter,error in total between 0.5 and 100um diameter,area between 0.1 and 10um diameter,error in area between 0.1 and 10um diameter,number between 0.1 and 10um diameter,error in total between 0.1 and 10um diameter,area between 0.5 and 10um diameter,error in area between 0.5 and 10um diameter,number between 0.5 and 10um diameter,error in total between 0.5 and 10um diameter,,,,pressure in bar,air temperature,area between 0.1 and 100um diameter,error in area between 0.1 and 100um diameter,number between 0.1 and 100um diameter,error in total between 0.1 and 100um diameter,area between 0.5 and 100um diameter,error in area between 0.5 and 100um diameter,number between 0.5 and 100um diameter,error in total between 0.5 and 100um diameter,area between 0.1 and 10um diameter,error in area between 0.1 and 10um diameter,number between 0.1 and 10um diameter,error in total between 0.1 and 10um diameter,area between 0.5 and 10um diameter,error in area between 0.5 and 10um diameter,number between 0.5 and 10um diameter,error in total between 0.5 and 10um diameter
51330,53010,b919_02,112.4338755139,10.8545572696,453.3992667461,63.1778799695,63.6868139048,10.8334155371,4.114647867,0.0175366777,107.9836704396,10.8545572696,4.1113262864,0.0175366777,59.2365921744,10.8334155371,4.1113262864,0.0175366777,,,UNSUCCESSFUL DROP FREEZE ASSAY,1.00794,300.53,103.0018997192,9.9439783096,415.3640136719,57.8779449463,58.3441848755,9.9246101379,3.7694737911,0.0160655417,98.9250183105,9.9439783096,3.7664308548,0.0160655417,54.267288208,9.9246101379,3.7664308548,0.0160655417
53880,54750,b919_04,2589.0392841292,2309.6476249748,119.0516470239,5.8687562126,2573.879589273,2309.6476249748,17.1719220321,1.8443935719,75.6312069757,2309.6476249748,17.1428087921,1.8443935719,60.4679411601,2309.6476249748,17.1428087921,1.8443935719,,,SAMPLED CLOUD,0.55766,273.165,1443.7243652344,1287.9273681641,66.3866958618,3.2725908756,1435.2708740234,1287.9273681641,9.5755681992,1.02848804,42.1741828918,1287.9273681641,9.5593338013,1.02848804,33.7187004089,1287.9273681641,9.5593338013,1.02848804
55500,56770,b920_02,66.7406754445,6.4394550609,305.6895132258,7.8625423417,34.6444417162,6.412481295,2.7589751828,0.1251643207,64.8628104917,6.4394550609,2.7569712527,0.1251643207,32.7666992676,6.412481295,2.7569712527,0.1251643207,,,,1.00736,299.54,61.3086395264,5.9153466225,280.809387207,7.2226085663,31.8247241974,5.8905682564,2.5344216824,0.1149771735,59.5836143494,5.9153466225,2.5325808525,0.1149771735,30.099811554,5.8905682564,2.5325808525,0.1149771735
57000,57315,b920_04,47.7949672301,8.2014719593,124.0598681316,11.0283005559,34.4254515257,8.1871294229,3.9520197083,0.8157296271,44.1257732774,8.2014719593,3.9461470369,0.8157296271,30.7562905307,8.1871294229,3.9461470369,0.8157296271,,,,0.88336,297.81,38.7241439819,6.6449460983,100.5150222778,8.9352817535,27.8919773102,6.6333255768,3.2019810677,0.6609154344,35.7513122559,6.6449460983,3.1972229481,0.6609154344,24.919172287,6.6333255768,3.1972229481,0.6609154344
57540,58490,b920_06,85.7278342787,8.8394926004,178.1165751841,8.5422824307,66.657649273,8.8179936997,7.3416679542,1.8010046663,80.0487237734,8.8394926004,7.3343682231,1.8010046663,60.9777263745,8.8179936997,7.3343682231,1.8010046663,,,,0.87459,295.79,69.2379302979,7.1392002106,143.8555297852,6.8991589546,53.8359298706,7.1218366623,5.9294848442,1.4545781612,64.6512069702,7.1392002106,5.9235892296,1.4545781612,49.248550415,7.1218366623,5.9235892296,1.4545781612
59025,61200,b920_08,161.3982255609,15.9077438053,205.9451855513,49.144629139,138.2278862669,15.8013224328,13.9196511227,5.9553972524,152.716568625,15.9077438053,13.9118438773,5.9553972524,129.5466896809,15.8013224328,13.9118438773,5.9553972524,,,,0.69611,286.825,106.9943466187,10.5455846786,136.5254821777,32.5790290833,91.6342315674,10.4750356674,9.2276353836,3.9479606152,101.2390899658,10.5455846786,9.2224597931,3.9479606152,85.8792800903,10.4750356674,9.2224597931,3.9479606152
52380,53489,b921_02,178.3909934381,19.8061479896,180.616310319,5.3701023505,155.7067298163,19.4419768,16.1178823373,2.0326094412,173.7215219073,19.8061479896,16.0977775918,2.0326094412,151.0380149545,19.4419768,16.0977775918,2.0326094412,,,,0.69585,285.62,118.7137832642,13.1803894043,120.1946640015,3.5736398697,103.6180953979,12.938044548,10.7259607315,1.3526397943,115.6063919067,13.1803894043,10.7125816345,1.3526397943,100.5112075806,12.938044548,10.7125816345,1.3526397943
53700,54120,b921_04,23.7769248275,7.3650290819,47.1103996952,7.3923051144,20.0363686624,7.3421811161,1.3167788745,0.5289459543,22.3155627891,7.3650290819,1.3139736281,0.5289459543,18.574902266,7.3421811161,1.3139736281,0.5289459543,,,,0.69566,284.84,15.8618173599,4.9132823944,31.4278049469,4.9314785004,13.3664560318,4.8980402946,0.8784359694,0.3528649807,14.8869285583,4.9132823944,0.8765645623,0.3528649807,12.391497612,4.8980402946,0.8765645623,0.3528649807
54285,55755,b921_06,92.5156721838,9.7046629476,102.1308326507,43.1954819132,80.8668911666,9.6657960525,9.6528766998,0.8459546449,87.8195321981,9.7046629476,9.6424305191,0.8459546449,76.1708600176,9.6657960525,9.6424305191,0.8459546449,,,,0.69592,285.445,61.6103096008,6.462767601,68.0134735107,28.7657966614,53.8528671265,6.4368844032,6.4282808304,0.5633589029,58.4829406738,6.462767601,6.4213242531,0.5633589029,50.7255706787,6.4368844032,6.4213242531,0.5633589029
60410,61005,b922_02,93.7773122982,10.8790756363,109.6151399171,15.7081498005,82.8545702689,10.8358371482,7.5753669123,8.4221182307,89.166769621,10.8790756363,7.5712058179,8.4221182307,78.2443287565,10.8358371482,7.5712058179,8.4221182307,,,,0.81167,291.725,71.2696838379,8.2679729462,83.3062515259,11.9380140305,62.9685249329,8.2351121902,5.7571921349,6.4007134438,67.7657241821,8.2679729462,5.7540297508,6.4007134438,59.4647941589,8.2351121902,5.7540297508,6.4007134438
61322,61925,b922_04,511.214803459,73.1749003102,41.7786131218,13.5841677208,483.0648489787,73.1744340859,1.5885679611,3.1117392658,360.6767230226,73.1749003102,1.4688369233,3.1117392658,332.5265970576,73.1744340859,1.4688369233,3.1117392658,,,SAMPLED CLOUD,0.75169,288.44,363.9049072266,52.0890731812,29.7398319244,9.6698007584,343.8665466309,52.0887413025,1.1308116913,2.2150712013,256.7453613281,52.0890731812,1.0455819368,2.2150712013,236.7068786621,52.0887413025,1.0455819368,2.2150712013
57160,57880,b924_02,165.8396735484,14.6932639019,460.0921820782,14.5671867474,116.5464627664,14.6482447643,11.3232454375,3.776302415,154.4078995348,14.6932639019,11.3138198685,3.776302415,105.1147304683,14.6482447643,11.3138198685,3.776302415,,,,1.00753,300.95,151.653793335,13.4364061356,420.7360229492,13.3211135864,106.5771102905,13.3952379227,10.3546581268,3.4532785416,141.1998901367,13.4364061356,10.3460388184,3.4532785416,96.1232452393,13.3952379227,10.3460388184,3.4532785416
58170,58470,b924_04,1318.0531427931,217.2344347469,795.5795351711,273.7634469806,1202.7075998277,211.4182700518,156.6900752595,15.1247789317,1222.9103860688,217.2344347469,156.5794814927,15.1247789317,1107.5668763193,211.4182700518,156.5794814927,15.1247789317,,,,0.90517,305.05,1068.3000488281,176.071472168,644.8280639648,221.8890075684,974.8109130859,171.3573913574,126.9994430542,12.2588396072,991.185546875,176.071472168,126.9098052979,12.2588396072,897.698059082,171.3573913574,126.9098052979,12.2588396072
58660,58960,b924_06,1673.0651546342,228.4051616488,873.0507870639,155.5193816708,1542.7056390491,228.3583478697,210.0042795146,18.6952016612,1553.8358784324,228.4051616488,209.8558790824,18.6952016612,1423.4626649248,228.3583478697,209.8558790824,18.6952016612,,,,0.90737,305.625,1356.7805175781,185.2263031006,708.0048828125,126.1192169189,1251.0648193359,185.1883392334,170.3040161133,15.1609668732,1260.0909423828,185.2263031006,170.1836700439,15.1609668732,1154.3641357422,185.1883392334,170.1836700439,15.1609668732
59125,59365,b924_08,1873.5744611893,220.4508653165,913.7052606161,140.0249175595,1741.8560279899,219.3748865638,212.7208334451,16.6745551556,1715.3305977839,220.4508653165,212.5359680729,16.6745551556,1583.5930682321,219.3748865638,212.5359680729,16.6745551556,,,,0.90735,302.905,1532.9943847656,180.3771057129,747.6110839844,114.5710601807,1425.2198486328,179.4967193604,174.0522460938,13.6434392929,1403.5162353516,180.3771057129,173.9009857178,13.6434392929,1295.7260742188,179.4967193604,173.9009857178,13.6434392929
59555,60195,b924_10,238.2504571787,23.0681585264,318.9664316594,49.3309476474,201.684709145,22.8183596218,23.284818443,4.3858056509,221.195029677,23.0681585264,23.262531579,4.3858056509,184.6292699619,22.8183596218,23.262531579,4.3858056509,,,UNSUCCESSFUL DROP FREEZE ASSAY,0.68976,288.475,155.6054382324,15.0662078857,208.3224182129,32.2188835144,131.7237243652,14.9030599594,15.2077121735,2.8644444942,144.4662475586,15.0662078857,15.1931562424,2.8644444942,120.584526062,14.9030599594,15.1931562424,2.8644444942
54190,55690,b925_02,175.3026437157,16.4937914733,320.852434175,29.0825183699,141.4270262703,16.4293337638,13.5593375069,2.2305711872,165.5620482689,16.4937914733,13.5461237771,2.2305711872,131.6861893981,16.4293337638,13.5461237771,2.2305711872,,,,0.69598,286.465,116.3361968994,10.9457845688,212.9274902344,19.3000488281,93.8553009033,10.903008461,8.9983911514,1.4802752733,109.8720397949,10.9457845688,8.9896221161,1.4802752733,87.3909835815,10.903008461,8.9896221161,1.4802752733
55790,59040,b926_02,133.4536978361,13.7124637868,174.1966412185,23.1318474857,115.7251093576,13.6856566299,11.0160905371,1.7504297005,127.440145621,13.7124637868,11.0100794653,1.7504297005,109.7119966898,13.6856566299,11.0100794653,1.7504297005,,,,0.77242,289.415,97.2891235352,9.9965276718,126.9911499023,16.8633556366,84.3647994995,9.9769849777,8.0308437347,1.2760813236,92.9051818848,9.9965276718,8.0264616013,1.2760813236,79.9811782837,9.9769849777,8.0264616013,1.2760813236
58890,60140,b927_02,627.9003718677,62.798519444,374.261952781,40.0840404627,577.7932374626,62.167738356,57.5536175436,7.8717122668,593.2944415526,62.798519444,57.5066846833,7.8717122668,543.0799520648,62.167738356,57.5066846833,7.8717122668,,,,0.74962,288.93,444.9799804688,44.5040092468,265.2316894531,28.4067287445,409.4700927734,44.0569877625,40.7870559692,5.5785193443,420.4554748535,44.5040092468,40.7537956238,5.5785193443,384.8695068359,44.0569877625,40.7537956238,5.5785193443
54798,56280,b928_02,203.5586215548,22.7643470227,341.9107637453,24.2853265627,166.3118636298,22.6835898749,15.4706014937,0.5471386436,188.0794476942,22.7643470227,15.4524448675,0.5471386436,150.8328568515,22.6835898749,15.4524448675,0.5471386436,,,,1.00852,301.645,185.8998718262,20.7895355225,312.2499389648,22.1785697937,151.8842773438,20.7157840729,14.1285238266,0.4996742606,171.7635192871,20.7895355225,14.1119422913,0.4996742606,137.7480773926,20.7157840729,14.1119422913,0.4996742606
57710,59022,b928_04,211.6328404588,19.3132838668,294.3811872498,9.9526922542,170.4209890117,19.2066781382,19.0449409512,3.1438977449,199.0675126648,19.3132838668,19.0272328245,3.1438977449,157.8560501325,19.2066781382,19.0272328245,3.1438977449,,,,0.72399,288.025,145.3070373535,13.2604942322,202.1220245361,6.8335151672,117.0109939575,13.1872987747,13.0762500763,2.1585991383,136.6796875,13.2604942322,13.0640916824,2.1585991383,108.3839111328,13.1872987747,13.0640916824,2.1585991383
60910,62288,b928_06,687.9956771765,128.3886726228,390.9813974513,19.0316824993,636.1830985953,128.3886726228,71.8629040945,12.7314945393,656.0034156679,128.3886726228,71.8185593838,12.7314945393,604.1918712285,128.3886726228,71.8185593838,12.7314945393,,,,0.67432,283.71,446.6612854004,83.3526306152,253.8333587646,12.3557691574,413.0234680176,83.3526306152,46.6549110413,8.2655544281,425.8912353516,83.3526306152,46.626121521,8.2655544281,392.2540893555,83.3526306152,46.626121521,8.2655544281
62618,63894,b928_09,163.4110267556,18.78920846,201.9175187085,28.3223582816,140.4034458326,18.7106198209,13.52227045,2.0949359744,159.7362831076,18.78920846,13.5094024534,2.0949359744,136.7292787938,18.7106198209,13.5094024534,2.0949359744,,,,0.60661,278.285,97.2976455688,11.1874074936,120.2250518799,16.8636035919,83.5985488892,11.1406145096,8.0513849258,1.2473597527,95.1096420288,11.1874074936,8.0437231064,1.2473597527,81.4108886719,11.1406145096,8.0437231064,1.2473597527
