 variable,  slope,  intercept,  r_value,  r_squared,  p_value,  std_err 
In_cloud_ice_water_mmr_at_3km_HM_on,9.956241681946336e-08,4.154472988149275e-07,0.31358811712535484,0.09833750720222527,0.6073712123987896,1.7405928998240117e-07
In_cloud_ice_water_mmr_at_3km_HM_off,5.195054837190932e-07,8.668770897539031e-07,0.3049846891215972,0.0930156605985973,0.6177883005951351,9.36593987708525e-07
In_cloud_ice_water_mmr_at_3km_all_HM_on_off,3.095339502692782e-07,6.411621800735606e-07,0.1698498767704807,0.028848980638947475,0.6389878749459725,6.349528045307927e-07
In_cloud_ice_water_mmr_at_4km_HM_on,5.941889270833849e-06,1.32110511710295e-05,0.7602719082842343,0.5780133745261512,0.13571990250205157,2.9311924033536007e-06
In_cloud_ice_water_mmr_at_4km_HM_off,2.4708962972859965e-05,1.7760814846546235e-05,0.9110883339681536,0.8300819522928657,0.03139738676959639,6.4543596313257276e-06
In_cloud_ice_water_mmr_at_4km_all_HM_on_off,1.5325426121846908e-05,1.5485932554040518e-05,0.7588809776734071,0.5759003382745462,0.010924128126739848,4.6497313546649265e-06
In_cloud_ice_water_mmr_at_5km_HM_on,-2.5602478286779973e-05,0.00021554827066596504,-0.40976359216660146,0.1679062014652769,0.4932647604831896,3.290592878124383e-05
In_cloud_ice_water_mmr_at_5km_HM_off,1.408838244950629e-05,0.00017577733612963013,0.1286453481350732,0.016549625596794182,0.8366565784419551,6.270218047595234e-05
In_cloud_ice_water_mmr_at_5km_all_HM_on_off,-5.7570479186368354e-06,0.00019566279612183996,-0.029405964388530662,0.0008647107416195335,0.9357300470388896,6.918812686498469e-05
In_cloud_ice_water_mmr_at_6km_HM_on,-4.043553686070241e-05,0.0002583012723465277,-0.42444127624749,0.18015039698259813,0.47628002906636974,4.9802606154864273e-05
In_cloud_ice_water_mmr_at_6km_HM_off,-1.9677104863132803e-05,0.00018946250015420808,-0.10847337177421715,0.01176647238406753,0.8621587432243175,0.00010411354275039195
In_cloud_ice_water_mmr_at_6km_all_HM_on_off,-3.00563208619176e-05,0.00022388190080228313,-0.09893382729796592,0.009787902183823746,0.7856881174318615,0.00010688336754590104
In_cloud_ice_water_mmr_at_8km_HM_on,8.496896239544198e-05,0.00034600116253975295,0.9324438217705405,0.8694514807580516,0.020863201332351467,1.900916265708253e-05
In_cloud_ice_water_mmr_at_8km_HM_off,4.5259993846267464e-05,0.00025455624412685265,0.41890343450277767,0.17548008743822294,0.48267349821663813,5.664225259632471e-05
In_cloud_ice_water_mmr_at_8km_all_HM_on_off,6.511447812085473e-05,0.0003002787033333028,0.2022340798931809,0.040898623070241474,0.575266307090522,0.00011148347165666863
In_cloud_ice_water_mmr_at_10km_HM_on,4.848083982440592e-05,0.00021620242203441,0.6520505857033788,0.42516996631611936,0.23309300611329484,3.254602421561466e-05
In_cloud_ice_water_mmr_at_10km_HM_off,-6.73277022151768e-05,0.00014647954052723878,-0.6984207561223081,0.4877915525824566,0.18955792520825976,3.983266798794749e-05
In_cloud_ice_water_mmr_at_10km_all_HM_on_off,-9.423431195385436e-06,0.000181340988556782,-0.049102348534575006,0.00241104063161088,0.8928472113780734,6.777002140193953e-05
In_cloud_ice_water_mmr_at_12km_HM_on,-2.8474552550130642e-05,0.00010862466861829622,-0.543658028563623,0.2955640520216851,0.34359072689697945,2.5379977347659413e-05
In_cloud_ice_water_mmr_at_12km_HM_off,-0.00011259507866938714,7.54740363715375e-05,-0.9571669645936525,0.9161685981094264,0.010572847785170637,1.9664116777787195e-05
In_cloud_ice_water_mmr_at_12km_all_HM_on_off,-7.053481560975889e-05,9.204935977087447e-05,-0.6450763025171392,0.4161234360691837,0.04400757402500518,2.9539828913883794e-05
In_cloud_ice_water_mmr_at_14km_HM_on,-4.4399368045827884e-05,4.4644563238076026e-05,-0.8425773332714938,0.7099365625429018,0.07318198757899957,1.6385242915142865e-05
In_cloud_ice_water_mmr_at_14km_HM_off,-4.858091542932577e-05,4.385560519294442e-05,-0.8774896787906284,0.7699881363840803,0.050518060866554505,1.532985927853898e-05
In_cloud_ice_water_mmr_at_14km_all_HM_on_off,-4.6490141737576825e-05,4.425008785348903e-05,-0.8601996375082314,0.7399434163692926,0.001406788039524762,9.744297796340813e-06
In_cloud_CD_mmr_at_3km_HM_on,7.4861220231489145e-06,0.0001942176101268725,0.4385987658903955,0.19236887744057793,0.4600190311345477,8.855954820738157e-06
In_cloud_CD_mmr_at_3km_HM_off,3.618173855104974e-06,0.00018853223936580408,0.09775375739681104,0.009555797085194589,0.8757345609147648,2.12672017703789e-05
In_cloud_CD_mmr_at_3km_all_HM_on_off,5.552147939126945e-06,0.0001913749174703807,0.16334910513397646,0.026682930148070896,0.6520566662679905,1.18556793934696e-05
In_cloud_CD_mmr_at_4km_HM_on,-9.951681320470013e-06,0.00011364663925502273,-0.6302162467536363,0.3971725176722402,0.25442658634829035,7.078524826072704e-06
In_cloud_CD_mmr_at_4km_HM_off,-1.5026334134517961e-05,0.00010915025374383826,-0.7802735014582693,0.6088267370779479,0.11948097635210574,6.953927164177787e-06
In_cloud_CD_mmr_at_4km_all_HM_on_off,-1.2489007727493987e-05,0.00011139845741336691,-0.5737914840830213,0.32923666720619604,0.08284422847960896,6.302509361091921e-06
In_cloud_CD_mmr_at_5km_HM_on,-2.3631636675657526e-05,2.7853265478773363e-05,-0.9311534711286227,0.8670467867948828,0.0214595407965332,5.34270661004451e-06
In_cloud_CD_mmr_at_5km_HM_off,-2.2744060624183195e-05,2.8001628545719292e-05,-0.9325726960875504,0.8696918334880027,0.020803941219687695,5.082887505394013e-06
In_cloud_CD_mmr_at_5km_all_HM_on_off,-2.318784864992036e-05,2.792744701224633e-05,-0.9316571950335089,0.8679851290577055,8.783735397824099e-05,3.197206954434359e-06
In_cloud_CD_mmr_at_6km_HM_on,-2.2167861189592904e-05,1.2392016694502235e-05,-0.9545813918496044,0.9112256336655281,0.011539939127447862,3.994790351698377e-06
In_cloud_CD_mmr_at_6km_HM_off,-2.3713577961356544e-05,1.5681924124165146e-05,-0.8663960212309133,0.7506420656047572,0.057433094772620666,7.890992045836206e-06
In_cloud_CD_mmr_at_6km_all_HM_on_off,-2.2940719575474727e-05,1.4036970409333689e-05,-0.8023720296148921,0.6438008739083212,0.0052177158336323155,6.032991126687935e-06
In_cloud_CD_mmr_at_8km_HM_on,-7.65192422165694e-07,1.6899604192414794e-06,-0.41599622500268696,0.17305285921648617,0.4860371167617829,9.657384404475595e-07
In_cloud_CD_mmr_at_8km_HM_off,-1.2692259723306175e-06,2.7740200112315474e-06,-0.30359232131026426,0.09216829755855473,0.6194770510292409,2.2998007574525473e-06
In_cloud_CD_mmr_at_8km_all_HM_on_off,-1.0172091972481557e-06,2.2319901015496756e-06,-0.18821884521257426,0.03542633369315499,0.6025498924479,1.8765920873327992e-06
In_cloud_CD_mmr_at_10km_HM_on,4.250662133073621e-07,1.8538749332206147e-07,0.7455073259726535,0.5557811730788962,0.14809170667399235,2.1940298084656512e-07
In_cloud_CD_mmr_at_10km_HM_off,9.30201612801909e-07,3.8891492513789853e-07,0.7515509465353656,0.564828825238204,0.1429891931600611,4.713983900237968e-07
In_cloud_CD_mmr_at_10km_all_HM_on_off,6.776339130546354e-07,2.871512163354073e-07,0.6542301113290482,0.42801703856961876,0.040141656872775676,2.769562411097948e-07
In_cloud_CD_mmr_at_12km_HM_on,4.3517528594886364e-09,1.7226347091831781e-09,0.6976789926432742,0.4867559767757338,0.19023419245805145,2.5799417461866236e-09
In_cloud_CD_mmr_at_12km_HM_off,8.082261768108637e-09,3.20673815155183e-09,0.8050696017531098,0.6481370636669108,0.10023709287435359,3.438156312372557e-09
In_cloud_CD_mmr_at_12km_all_HM_on_off,6.217007313798637e-09,2.4646864581230797e-09,0.7069716083899382,0.49980885506945616,0.02224088665302995,2.198884465756483e-09
In_cloud_CD_mmr_at_14km_HM_on,1.98245532052038e-12,1.6882467287356595e-12,0.7416330751903629,0.5500196182163145,0.15139008489782146,1.0352624944133247e-12
In_cloud_CD_mmr_at_14km_HM_off,-1.0801107749867225e-13,4.679603902154246e-13,-0.03636809183363021,0.0013226381036193606,0.9537049168610334,1.7135617481480757e-12
In_cloud_CD_mmr_at_14km_all_HM_on_off,9.37222121510854e-13,1.078103559475542e-12,0.22919773178915126,0.05253160025729172,0.5241479759918573,1.4072445940771382e-12
In_cloud_rain_mmr_at_3km_HM_on,5.956494438142352e-05,0.0006040375833727275,0.7459091855913501,0.5563805131495512,0.14775079926896498,3.070785388339218e-05
In_cloud_rain_mmr_at_3km_HM_off,4.2252926309435624e-05,0.0006342809184880195,0.5956593169850305,0.354810021911073,0.2891873256511372,3.289591964198261e-05
In_cloud_rain_mmr_at_3km_all_HM_on_off,5.090893534542957e-05,0.0006191592800342039,0.35221023508065785,0.12405204969557226,0.3182134342903328,4.782843818293815e-05
In_cloud_rain_mmr_at_4km_HM_on,6.0808618974275255e-05,0.0003504413392474079,0.831667910313494,0.6916715130452138,0.08077977777799908,2.3440204381366383e-05
In_cloud_rain_mmr_at_4km_HM_off,7.853543739437379e-05,0.0003534506664354308,0.7381765473699932,0.5449046150870838,0.15435067323172827,4.143773532076025e-05
In_cloud_rain_mmr_at_4km_all_HM_on_off,6.967202818432452e-05,0.00035194606104908024,0.7631066064266302,0.5823316927719678,0.010234902901113408,2.086142675714294e-05
In_cloud_rain_mmr_at_5km_HM_on,-3.652850427585795e-05,4.021490054365364e-05,-0.8271423131800535,0.6841644062528497,0.08399877168751045,1.4329187325007935e-05
In_cloud_rain_mmr_at_5km_HM_off,-6.644854625320167e-05,4.337421756360721e-05,-0.8613693195113072,0.7419571045953725,0.06065677626114351,2.2624626111111608e-05
In_cloud_rain_mmr_at_5km_all_HM_on_off,-5.14885252645298e-05,4.1794559053630415e-05,-0.7243377733164735,0.524665209853067,0.017828287182262263,1.732702997246641e-05
In_cloud_rain_mmr_at_6km_HM_on,-2.8281230290756583e-05,1.183771169390528e-05,-0.8100639758194833,0.6562036449204685,0.09648671830717327,1.1818680319278415e-05
In_cloud_rain_mmr_at_6km_HM_off,-6.335485242704384e-05,1.993473817960325e-05,-0.8517871300562496,0.7255413149294623,0.06695206430040651,2.2497106878669118e-05
In_cloud_rain_mmr_at_6km_all_HM_on_off,-4.581804135890022e-05,1.5886224936754264e-05,-0.5726877117902512,0.3279712152355539,0.0835749715271947,2.318823001119548e-05
In_cloud_rain_mmr_at_8km_HM_on,-3.225898805194456e-06,2.2306064833988087e-07,-0.9087501735209351,0.8258268778743297,0.0326322093913079,8.553348628442653e-07
In_cloud_rain_mmr_at_8km_HM_off,-7.213724377680298e-06,1.9140205161551706e-06,-0.7653091410170058,0.5856980813241872,0.13157259841596353,3.5028415212209823e-06
In_cloud_rain_mmr_at_8km_all_HM_on_off,-5.219811591437376e-06,1.068540525404107e-06,-0.45251045478527085,0.20476571168997265,0.189135743013011,3.636878270489251e-06
In_cloud_rain_mmr_at_10km_HM_on,3.7339180529995945e-08,1.542202649199163e-08,0.7839992953352013,0.6146548950860922,0.11652507397660387,1.706920938884678e-08
In_cloud_rain_mmr_at_10km_HM_off,3.458120692962814e-08,1.297409232434413e-08,0.7651868008505088,0.5855108401958362,0.13167287204250716,1.6798427823332697e-08
