 variable,  slope,  intercept,  r_value,  r_squared,  p_value,  std_err 
In_cloud_ice_crystal_number_at_3km_HM_on,0.0,0.0,0.0,0.0,1.0,0.0
In_cloud_ice_crystal_number_at_3km_HM_off,0.0,0.0,0.0,0.0,1.0,0.0
In_cloud_ice_crystal_number_at_3km_all_HM_on_off,0.0,0.0,0.0,0.0,1.0,0.0
In_cloud_ice_crystal_number_at_4km_HM_on,6.646989486142323e-08,2.370504570388897e-08,0.4925097508379171,0.24256585467042718,0.39928188487382194,6.781440739109229e-08
In_cloud_ice_crystal_number_at_4km_HM_off,7.525646962690285e-08,2.567969840772431e-08,0.4750896459105003,0.22571017165136453,0.4186929019092167,8.047471092774528e-08
In_cloud_ice_crystal_number_at_4km_all_HM_on_off,7.086318224416305e-08,2.4692371611717433e-08,0.4815599860173917,0.23190002013307048,0.15876062880503955,4.5596776550467286e-08
In_cloud_ice_crystal_number_at_5km_HM_on,399.7431275361597,156.87909010516157,0.5041157948129741,0.2541327345799166,0.3864701548208028,395.3855993108086
In_cloud_ice_crystal_number_at_5km_HM_off,380.23922527943927,129.85813605420918,0.47523677541130704,0.22584999270333708,0.4185280697108228,406.44221524548925
In_cloud_ice_crystal_number_at_5km_all_HM_on_off,389.9911764077995,143.36859972824496,0.48685394884374367,0.23702676750474658,0.15356498158077156,247.38065876206346
In_cloud_ice_crystal_number_at_6km_HM_on,907.0220941618528,2192.9486449614487,0.7136646610852295,0.5093172484818955,0.17581349634573504,514.000383090691
In_cloud_ice_crystal_number_at_6km_HM_off,576.8278203828135,198.470842249224,0.4870407123397661,0.23720865547642678,0.40535289987206374,597.2046534631407
In_cloud_ice_crystal_number_at_6km_all_HM_on_off,741.924957272333,1195.7098122698872,0.1034889310882087,0.010709958857780009,0.7760269652243393,2521.058388649702
In_cloud_ice_crystal_number_at_8km_HM_on,-1811.77117838232,696.7299617593318,-0.5907784647165875,0.3490191943728882,0.2941902376853043,1428.5720704949433
In_cloud_ice_crystal_number_at_8km_HM_off,-14880.88088099427,-1272.8579088594556,-0.919846064966832,0.8461167832349653,0.02691097900949094,3663.941122389045
In_cloud_ice_crystal_number_at_8km_all_HM_on_off,-8346.326029688293,-288.064034585218,-0.703958743581294,0.49555791266455396,0.02307624350518522,2977.2054234755187
In_cloud_ice_crystal_number_at_10km_HM_on,-311933.45040533337,-24136.057938672013,-0.9799522224183812,0.9603063582227245,0.003397213905803811,36614.81908348062
In_cloud_ice_crystal_number_at_10km_HM_off,-512473.0846367733,-21695.02827794265,-0.9472659436966021,0.8973127680874141,0.014421325398817469,100091.39296227372
In_cloud_ice_crystal_number_at_10km_all_HM_on_off,-412203.2675210533,-22915.54115518235,-0.8774265753283779,0.7698773950924855,0.0008495901354806454,79677.42555555908
In_cloud_ice_crystal_number_at_12km_HM_on,-507449.01912566886,156426.0173269313,-0.6595324415149681,0.4349830414106949,0.22590133285984315,333907.64976257936
In_cloud_ice_crystal_number_at_12km_HM_off,351547.79601675516,681951.1927411837,0.14608510817048437,0.02134085882918212,0.8146623688440839,1374464.5219346383
In_cloud_ice_crystal_number_at_12km_all_HM_on_off,-77950.61155445685,419188.62065905746,-0.035254050080948646,0.0012428480471100352,0.9229775402428919,781259.7804926267
In_cloud_ice_crystal_number_at_14km_HM_on,4943325.619640418,3095977.8580995183,0.6562108084344697,0.4306126251062202,0.2290864921159278,3281853.031652348
In_cloud_ice_crystal_number_at_14km_HM_off,10917976.09807429,5474440.950709906,0.6984956895742722,0.48789622835383806,0.18948964622625034,6457981.084560817
In_cloud_ice_crystal_number_at_14km_all_HM_on_off,7930650.858857354,4285209.404404713,0.6086366808997735,0.37043860933669276,0.06185495384749817,3655314.5718384935
In_cloud_snow_number_at_3km_HM_on,7.744144007230382e-07,6.532058233608637e-07,0.6072772328070272,0.36878563748576026,0.27736989759021813,5.849439178481716e-07
In_cloud_snow_number_at_3km_HM_off,-6.342585322540491e-07,4.2403005208646983e-07,-0.5892472532994959,0.3472123255210003,0.2957643315041455,5.021044806558853e-07
In_cloud_snow_number_at_3km_all_HM_on_off,7.007793423449449e-08,5.386179377236668e-07,0.05871260404670486,0.0034471698739451436,0.8720079968932349,4.2126474796982706e-07
In_cloud_snow_number_at_4km_HM_on,0.059300435646318046,0.10219110717524489,0.5279462401507474,0.2787272324893107,0.36048136877768966,0.05507535723587864
In_cloud_snow_number_at_4km_HM_off,0.23396948540536952,0.24978100223265035,0.5796601369561196,0.33600587437598733,0.3056690871977187,0.18989226556053748
In_cloud_snow_number_at_4km_all_HM_on_off,0.14663496052584377,0.17598606215452822,0.28802034996526593,0.08295572199411426,0.41967121608359914,0.17237112338906144
In_cloud_snow_number_at_5km_HM_on,-2778.0029146346733,2517.6004336121023,-0.7807127834003249,0.6095124501646826,0.11913131498970374,1283.761582319678
In_cloud_snow_number_at_5km_HM_off,-6481.655261793181,932.9085084452656,-0.9273571410600943,0.8599912670751516,0.02324521353657595,1509.9266252226032
In_cloud_snow_number_at_5km_all_HM_on_off,-4629.829088213927,1725.2543489583713,-0.7273799126322613,0.5290815373009161,0.017123475591978275,1544.299465403094
In_cloud_snow_number_at_6km_HM_on,-5104.807797996445,3214.674253392774,-0.830894154070976,0.6903850952693228,0.08132739062038374,1973.712964823431
In_cloud_snow_number_at_6km_HM_off,-10900.931571061257,1051.2951890368859,-0.9450973359715583,0.8932089744605366,0.015314919466973371,2176.175044473284
In_cloud_snow_number_at_6km_all_HM_on_off,-8002.86968452885,2132.9845991445172,-0.8031025065561782,0.6449736360368162,0.005145855698061713,2099.2302333562184
In_cloud_snow_number_at_8km_HM_on,-14661.387251817863,6033.3375547765045,-0.938040906597603,0.8799207424504529,0.018340597373430967,3126.9911840516406
In_cloud_snow_number_at_8km_HM_off,-26191.844524508208,3375.555614272629,-0.9646161053732286,0.9304842307454156,0.007947375652488063,4133.258947242109
In_cloud_snow_number_at_8km_all_HM_on_off,-20426.615888163033,4704.447561087067,-0.9202311080676162,0.8468252922553527,0.00016073923312916234,3071.4825241147996
In_cloud_snow_number_at_10km_HM_on,-1314.0814851186854,7026.755922879133,-0.17404021802499262,0.030289997490186963,0.7795289353550959,4292.724212191418
In_cloud_snow_number_at_10km_HM_off,-5099.778207738616,4924.494718229725,-0.33598504685707126,0.11288595171154837,0.5804012243677459,8253.923520104498
In_cloud_snow_number_at_10km_all_HM_on_off,-3206.929846428651,5975.624588132554,-0.2472040989087974,0.06110986651731049,0.4910927200851124,4444.226515219448
In_cloud_snow_number_at_12km_HM_on,3245.261865275196,3924.087864502691,0.5730190956424888,0.3283508839709357,0.3125790917571828,2679.731293685074
In_cloud_snow_number_at_12km_HM_off,2222.4069088589104,2444.52507367405,0.31015598726882665,0.09619673643870055,0.6115231795294654,3932.9618569589315
In_cloud_snow_number_at_12km_all_HM_on_off,2733.834387067053,3184.306408053214,0.34284271248040626,0.11754112550092252,0.33214078567791416,2648.375267301615
In_cloud_snow_number_at_14km_HM_on,1950.450542648697,1336.0513939043058,0.6321788849412598,0.39965014256557463,0.25248837852337125,1380.1825584758374
In_cloud_snow_number_at_14km_HM_off,529.5336135558775,472.49586835219213,0.23004118864874853,0.05291894847492911,0.7097066703536365,1293.3643226856673
In_cloud_snow_number_at_14km_all_HM_on_off,1239.9920781022872,904.273631128249,0.3585021636247125,0.12852380132360014,0.3090332893234413,1141.5893307919728
In_cloud_graupel_number_at_3km_HM_on,0.012283241081107186,0.025980616721094522,0.48711120138120056,0.23727732251103653,0.4052745163403218,0.0127147422721648
In_cloud_graupel_number_at_3km_HM_off,0.055870036301283336,0.04752025179717937,0.806939117108412,0.6511507387197035,0.0988281479318585,0.023610025775872272
In_cloud_graupel_number_at_3km_all_HM_on_off,0.03407663869119527,0.03675043332781437,0.48404460810478867,0.23429918263531843,0.15630915021666564,0.021779902166871687
In_cloud_graupel_number_at_4km_HM_on,5.694363987778827,8.299665825263313,0.9101659730371088,0.828402098474587,0.03188267667504399,1.4963045199952048
In_cloud_graupel_number_at_4km_HM_off,15.736442150003256,8.120724844108736,0.7920119836362365,0.6272829822234062,0.11024410169638973,7.003316933052463
In_cloud_graupel_number_at_4km_all_HM_on_off,10.715403068891042,8.210194857848867,0.6408032011665226,0.4106287426252628,0.0458946388608211,4.5387192757722845
In_cloud_graupel_number_at_5km_HM_on,230.15162981826168,326.110723884173,0.8563132636580553,0.73327240551671,0.06395431765376233,80.14099505897829
In_cloud_graupel_number_at_5km_HM_off,301.92733444755737,169.0048873977568,0.805776015995948,0.6492749879543022,0.09970399749321827,128.1182029760873
In_cloud_graupel_number_at_5km_all_HM_on_off,266.03948213290954,247.55781327035942,0.3764132934429635,0.14168696748057855,0.28367813190554153,231.50426748807743
In_cloud_graupel_number_at_6km_HM_on,295.2972005735783,431.10369082526256,0.8752780302625941,0.7661116302603665,0.05187425863854153,94.20131995379036
In_cloud_graupel_number_at_6km_HM_off,332.7677226052604,186.04142646931518,0.7786438184196695,0.6062861959631631,0.12078085230078552,154.82177703767832
In_cloud_graupel_number_at_6km_all_HM_on_off,314.03246158941937,308.57257009138067,0.3136387753745101,0.09836928141842242,0.3775147984387188,336.13532099534626
In_cloud_graupel_number_at_8km_HM_on,539.8402490038687,442.8127136912867,0.8420751509876432,0.7090905599108621,0.07352660278002655,199.6331636651856
In_cloud_graupel_number_at_8km_HM_off,510.70302910838706,296.8746640873544,0.8599312763859497,0.7394818001067686,0.06158910028019496,175.01009311407313
In_cloud_graupel_number_at_8km_all_HM_on_off,525.2716390561279,369.84369651871515,0.6539198968596036,0.42761123150887465,0.04026877912499699,214.8621706737829
In_cloud_graupel_number_at_10km_HM_on,630.2138147258634,367.8971406397035,0.7909796621043599,0.6256488258627273,0.11104742477910266,281.45020834789483
In_cloud_graupel_number_at_10km_HM_off,513.6054826987634,260.27864747054707,0.7809485202465815,0.6098805912753252,0.1189437987867766,237.1621594518119
In_cloud_graupel_number_at_10km_all_HM_on_off,571.9096487123134,314.0878940551253,0.720782453662379,0.5195273455075595,0.01867720616898487,194.45206607267284
In_cloud_graupel_number_at_12km_HM_on,429.16755004831083,224.49532060642548,0.8515445079212602,0.7251280489708612,0.06711396266004588,152.55417928250176
In_cloud_graupel_number_at_12km_HM_off,270.1161314304753,133.49039336836742,0.7948776934404194,0.6318305475291613,0.10802333322617827,119.04563064713157
In_cloud_graupel_number_at_12km_all_HM_on_off,349.64184073939305,178.9928531726992,0.725373312068415,0.5261664418611023,0.017586153197139864,117.30856957794718
In_cloud_graupel_number_at_14km_HM_on,185.76459436326417,87.90271420901479,0.8452646159671262,0.7144722710060534,0.07134644137505365,67.80063675830432
In_cloud_graupel_number_at_14km_HM_off,80.59188524705274,42.98409225823461,0.8488396476475486,0.7205287474184144,0.06892709301817188,28.978346566942133
In_cloud_graupel_number_at_14km_all_HM_on_off,133.17823980515846,65.44340323362471,0.6973522012298577,0.486300092560128,0.02498307305382392,48.39392473631821
In_cloud_CD_number_at_3km_HM_on,1251316.200825364,25957356.064009514,0.6848470204830281,0.46901544146448115,0.20203991325561438,768694.5734965269
In_cloud_CD_number_at_3km_HM_off,1949623.7772971317,26429955.96776559,0.36589286991993264,0.13387759225824475,0.5447450699989308,2863029.8508459167
In_cloud_CD_number_at_3km_all_HM_on_off,1600469.989061248,26193656.01588755,0.384053120771046,0.14749679957397963,0.2732171721910945,1360376.9102242473
