"variable, slope, intercept, r_value, r_squared, p_value, std_err"
Domain_TOA_outgoing_SW_mean_HM_on,-30.626779191350668,149.22437463568045,-0.9238939468589223,0.8535800250425573,0.02491389792263662,7.323500954015158
Domain_TOA_outgoing_SW_mean_HM_off,-18.3459760255292,149.59545965272943,-0.7765133228745383,0.6029729406016571,0.12248651416836645,8.594910058979389
Domain_TOA_outgoing_SW_mean_all_HM_on_off,-24.486377608439934,149.40992477359947,-0.8230493742869549,0.677410272514148,0.0034439619193987287,5.97418857232346
Domain_TOA_outgoing_SW_sum_HM_on,-13442080.40662115,65494591.087813154,-0.9238938005832932,0.8535797547562419,0.024913969188648848,3214284.940446287
Domain_TOA_outgoing_SW_sum_HM_off,-8052063.4975445485,65657449.76755537,-0.7765139131446177,0.6029738573071669,0.12248604061307795,3772305.651654252
Domain_TOA_outgoing_SW_sum_all_HM_on_off,-10747071.95208285,65576016.42768426,-0.823049543886012,0.6774105516909724,0.0034439494650066907,2622069.889482343
Domain_TOA_outgoing_LW_mean_HM_on,7.367466111897171,237.29458784894072,0.8822564921007141,0.7783765178538574,0.047633932243449195,2.269710902853702
Domain_TOA_outgoing_LW_mean_HM_off,0.514654708158222,236.45622521309042,0.0726651407469191,0.005280222679769562,0.9075613550362333,4.078303857187307
Domain_TOA_outgoing_LW_mean_all_HM_on_off,3.941060410027696,236.87541416041012,0.4945545135695089,0.24458416689197357,0.1461934526869801,2.4487642157437954
Domain_TOA_outgoing_LW_sum_HM_on,3233601.4367414066,104148594.4901252,0.8822583578150165,0.7783798099344497,0.04763281393518645,996172.9438153526
Domain_TOA_outgoing_LW_sum_HM_off,225859.11806115712,103780621.93297563,0.07265795739072718,0.005279178772192727,0.9075704769930245,1789964.5106372677
Domain_TOA_outgoing_LW_sum_all_HM_on_off,1729730.2774012815,103964612.21155041,0.4945534312791759,0.24458309639000655,0.14619447327628687,1074765.021647752
Domain_TOA_outgoing_SW_mean_daylight_HM_on,-54.98698978949966,249.80052834505736,-0.9228148288970022,0.8515872084322034,0.025441433039781653,13.253189882136859
Domain_TOA_outgoing_SW_mean_daylight_HM_off,-32.40188505881618,249.7931582945866,-0.775091484696249,0.6007668096486356,0.12362879491042945,15.250005618910755
Domain_TOA_outgoing_SW_mean_daylight_all_HM_on_off,-43.69443742415791,249.79685857861102,-0.8090752356589845,0.6546027369566414,0.004584526746937934,11.221520213763592
Domain_Total_outgoing_radiation_mean_HM_on,-23.259371004552946,386.5189510447328,-0.9290459520679712,0.8631263810538832,0.022445154131250113,5.347613591098849
Domain_Total_outgoing_radiation_mean_HM_off,-17.831327932466436,386.0516835593749,-0.8258424173876936,0.6820156983567495,0.08493049417503276,7.029569259439976
Domain_Total_outgoing_radiation_mean_all_HM_on_off,-20.54534946850969,386.2853020432648,-0.8543872766830122,0.729977618557814,0.0016436053824460874,4.417877287661878
Domain_Total_outgoing_radiation_mean_daylight_HM_on,-49.30348259303123,489.6929482376558,-0.9380600257644852,0.8799566119372667,0.01833216245971639,10.513697139608702
Domain_Total_outgoing_radiation_mean_daylight_HM_off,-32.40834891701735,490.09089294862946,-0.8563337347443052,0.73330746526113,0.06394085685880117,11.283885093704177
Domain_Total_outgoing_radiation_mean_daylight_all_HM_on_off,-40.855915755024284,489.8919358519317,-0.8684652419534601,0.754231876481282,0.0011140104486478811,8.245562558485926
DIFF_TO_NOINP_Domain_TOA_outgoing_SW_mean_HM_on,-30.62676502818825,2.226567069057549,-0.9238940116749951,0.853580144808916,0.02491386634403408,7.32349405834436
DIFF_TO_NOINP_Domain_TOA_outgoing_SW_sum_HM_on,-13442088.976815976,977240.6452468392,-0.9238940523477386,0.853580219963526,0.024913846528147064,3214281.0076272422
DIFF_TO_NOINP_Domain_TOA_outgoing_LW_mean_HM_on,7.367474090250978,-1.2802496905211227,0.8822569590258471,0.7783773417495352,0.047633652367968,2.2697079406557976
DIFF_TO_NOINP_Domain_TOA_outgoing_LW_sum_HM_on,3233583.119487996,-561901.7524315623,0.8822569612352572,0.7783773456480702,0.0476336510436462,996174.4161207671
DIFF_TO_NOINP_Domain_TOA_outgoing_SW_mean_daylight_HM_on,-54.98705018611338,3.8021367097220704,-0.922815338123511,0.8515881482760099,0.025441183260678568,13.253155161927985
DIFF_TO_NOINP_Domain_Total_outgoing_radiation_mean_HM_on,-23.259292075277795,0.9463190612665642,-0.9290438492109381,0.8631224737566763,0.022446144695934492,5.347683876249851
DIFF_TO_NOINP_Domain_Total_outgoing_radiation_mean_daylight_HM_on,-49.30346027461972,0.29517318069758147,-0.9380599962849675,0.8799565566301533,0.01833217546439624,10.513695132699365
